Joints
100
,,Subject1:Head_Head_End,Subject1:L_Collar_L_Humerus,,,Subject1:L_Elbow_L_Wrist,Subject1:L_Femur_L_Tibia,Subject1:L_Foot_L_Toe,Subject1:L_Humerus_L_Elbow,,Subject1:L_Tibia_L_Foot,,,Subject1:L_Wrist_L_Wrist_End,Subject1:LowerBack_Head,,,Subject1:LowerBack_L_Collar,,,Subject1:LowerBack_R_Collar,,,Subject1:R_Collar_R_Humerus,,,Subject1:R_Elbow_R_Wrist,Subject1:R_Femur_R_Tibia,Subject1:R_Foot_R_Toe,Subject1:R_Humerus_R_Elbow,,Subject1:R_Tibia_R_Foot,,,Subject1:R_Wrist_R_Wrist_End,Subject1:Root_L_Femur,,,Subject1:Root_LowerBack,,,Subject1:Root_R_Femur,,,Subject1:World_Root,,,,,,Subject1:Head_Head_End,Subject1:L_Collar_L_Humerus,,,Subject1:L_Elbow_L_Wrist,Subject1:L_Femur_L_Tibia,Subject1:L_Foot_L_Toe,Subject1:L_Humerus_L_Elbow,,Subject1:L_Tibia_L_Foot,,,Subject1:L_Wrist_L_Wrist_End,Subject1:LowerBack_Head,,,Subject1:LowerBack_L_Collar,,,Subject1:LowerBack_R_Collar,,,Subject1:R_Collar_R_Humerus,,,Subject1:R_Elbow_R_Wrist,Subject1:R_Femur_R_Tibia,Subject1:R_Foot_R_Toe,Subject1:R_Humerus_R_Elbow,,Subject1:R_Tibia_R_Foot,,,Subject1:R_Wrist_R_Wrist_End,Subject1:Root_L_Femur,,,Subject1:Root_LowerBack,,,Subject1:Root_R_Femur,,,Subject1:World_Root,,,,,,
Frame,Sub Frame,,RX,RY,RZ,R,R,,R1,R2,RX,RY,RZ,,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,R,R,,R1,R2,RX,RY,RZ,,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ,,RX',RY',RZ',R',R',,R1',R2',RX',RY',RZ',,RX',RY',RZ',RX',RY',RZ',RX',RY',RZ',RX',RY',RZ',R',R',,R1',R2',RX',RY',RZ',,RX',RY',RZ',RX',RY',RZ',RX',RY',RZ',RX',RY',RZ',TX',TY',TZ'
,,,deg,deg,deg,deg,deg,,deg,deg,deg,deg,deg,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,,deg,deg,deg,deg,deg,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm,,deg/s,deg/s,deg/s,deg/s,deg/s,,deg/s,deg/s,deg/s,deg/s,deg/s,,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,,deg/s,deg/s,deg/s,deg/s,deg/s,,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,mm/s,mm/s,mm/s
1,0,,18.291,18.4206,-72.9657,0,20.0227,,-38.497,11.0258,-16.467,-1.18893,-9.15547,,-0,0,-0,-3.76386,-14.342,3.62678,1.5808,33.1626,-1.61636,34.5198,-39.9235,81.0156,0,62.5927,,-38.4285,10.4179,-0.545329,4.676,6.87008,,-1.96784,8.34546,-4.14496,8.55654,-6.9346,-1.84704,-33.0621,-13.2455,-11.0271,-0.570449,-12.0443,1.36467,-35.2702,951.356,262.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,,17.5944,18.4417,-72.5928,0,19.8305,,-37.4726,11.7689,-16.6552,-0.855574,-9.96583,,0,0,0,-3.65418,-14.0736,3.69111,1.77885,32.9469,-1.64114,33.5601,-40.0442,80.2131,0,64.3833,,-37.5039,9.36778,-1.20119,4.21368,8.2993,,-1.93513,7.93818,-4.5184,8.41077,-7.36673,-1.9345,-34.4129,-13.4228,-11.8479,-0.51201,-11.9247,1.55404,-33.8619,949.988,262.684,,-69.6661,2.1107,37.2901,0,-19.2178,,102.443,74.3057,-18.8173,33.3351,-81.0357,,0,0,0,10.9679,26.8368,6.43327,19.8042,-21.5742,-2.47762,-95.9717,-12.073,-80.2499,0,179.064,,92.4627,-105.012,-65.5865,-46.2319,142.922,,3.27085,-40.728,-37.3441,-14.5766,-43.2134,-8.74608,-135.084,-17.7239,-82.0862,5.84382,11.9617,18.9372,140.831,-136.787,-6.60419
3,0,,17.5005,15.7462,-71.6179,0,19.59,,-36.7689,12.16,-16.7877,-0.481266,-10.5584,,0,0,0,-4.26116,-11.3581,3.80147,2.02445,33.67,-1.81566,33.1197,-40.9179,80.1751,0,66.3387,,-36.4736,8.62738,-1.87718,3.35975,8.31368,,-1.87913,7.48589,-4.8192,8.2682,-7.84119,-1.8719,-35.8918,-13.7336,-12.6772,-0.466592,-11.7678,1.65597,-32.4663,948.892,262.787,,-9.38775,-269.545,97.4852,0,-24.0464,,70.3646,39.1067,-13.2456,37.4308,-59.2593,,0,0,0,-60.6978,271.556,11.0356,24.5605,72.3102,-17.4515,-44.0346,-87.3721,-3.79963,0,195.538,,103.033,-74.0395,-67.5988,-85.3929,1.4375,,5.59988,-45.2292,-30.0798,-14.2567,-47.4463,6.26004,-147.891,-31.086,-82.9289,4.54181,15.6883,10.1929,139.552,-109.595,10.2818
4,0,,15.9784,27.8173,-74.4911,0,19.2631,,-34.6073,13.2069,-16.7619,-0.0423504,-10.7078,,0,0,0,-1.83995,-22.5504,4.14321,1.94312,32.5876,-1.98993,32.2056,-40.1103,78.9729,0,68.2343,,-35.4958,8.02718,-2.63261,2.30079,8.41285,,-1.75558,7.00539,-5.0469,8.13149,-8.29446,-1.6889,-37.3006,-14.0569,-13.4394,-0.4573,-11.5926,1.67605,-31.2188,948.44,263.103,,-152.212,1207.11,-287.311,0,-32.6949,,216.156,104.689,2.57396,43.8916,-14.9381,,0,0,0,242.121,-1119.23,34.1738,-8.13341,-108.241,-17.427,-91.406,80.7636,-120.224,0,189.557,,97.78,-60.0199,-75.5427,-105.896,9.91709,,12.3546,-48.05,-22.77,-13.6713,-45.3265,18.2997,-140.883,-32.3256,-76.2168,0.929237,17.5269,2.00749,124.752,-45.2042,31.6381
5,0,,15.3847,27.2413,-73.9752,0,18.788,,-33.3688,14.0344,-16.5385,0.407179,-10.8106,,0,0,0,-1.96431,-21.7288,4.24008,1.96637,32.5995,-2.21997,31.5235,-40.337,78.4767,0,69.9098,,-34.3335,7.05842,-3.52292,1.32925,9.51912,,-1.45623,6.63979,-5.11434,8.07801,-8.57166,-1.34217,-38.4033,-14.304,-13.9359,-0.54534,-11.5236,1.54186,-30.3501,948.968,263.72,,-59.3643,-57.606,51.5816,0,-47.5132,,123.857,82.7594,22.3472,44.9529,-10.2811,,0,0,0,-12.4364,82.1639,9.68781,2.32512,1.19323,-23.0043,-68.2124,-22.6677,-49.6159,0,167.553,,116.233,-96.8761,-89.0309,-97.1541,110.627,,29.935,-36.5603,-6.7443,-5.34838,-27.7202,34.6739,-110.268,-24.7057,-49.6556,-8.804,6.90045,-13.4189,86.8762,52.768,61.7087
6,0,,14.761,26.6891,-73.6706,0,18.0509,,-32.1457,14.8634,-15.9507,1.09063,-10.1341,,0,0,0,-2.10439,-20.9301,4.39839,2.13182,32.5602,-2.58988,30.6999,-40.5958,78.0353,0,71.4254,,-33.0792,6.21063,-4.28509,0.270034,9.02757,,-1.10753,6.15829,-5.21274,7.89433,-8.79109,-0.9289,-39.4911,-14.5876,-14.3982,-0.570469,-11.495,1.41983,-29.4576,950.548,264.513,,-62.3704,-55.2193,30.4681,0,-73.7102,,122.309,82.8928,58.7791,68.3447,67.6541,,0,0,0,-14.0075,79.864,15.8302,16.5454,-3.93351,-36.9914,-82.3632,-25.883,-44.1435,0,151.563,,125.428,-84.7787,-76.2177,-105.921,-49.1548,,34.8705,-48.1493,-9.83974,-18.3675,-21.9429,41.3265,-108.779,-28.3632,-46.2268,-2.51288,2.85664,-12.203,89.2453,157.964,79.2682
7,0,,14.4612,20.3924,-72.4313,0,16.9679,,-31.3982,15.5502,-14.9496,1.95407,-9.21916,,0,0,0,-3.38395,-14.667,4.51064,2.79548,33.734,-3.21076,29.8845,-42.1926,78.431,0,72.6056,,-31.6603,5.30038,-4.88096,-0.692135,8.35954,,-0.779398,5.64808,-5.23906,7.41671,-8.84446,-0.371286,-40.5062,-14.7974,-14.6108,-0.417112,-11.5908,1.25831,-28.7382,953.339,265.433,,-29.9763,-629.667,123.93,0,-108.299,,74.7475,68.6873,100.107,86.3443,91.4916,,0,0,0,-127.956,626.314,11.2259,66.3662,117.387,-62.0874,-81.5395,-159.682,39.57,0,118.022,,141.883,-91.025,-59.587,-96.2169,-66.8028,,32.813,-51.0213,-2.63248,-47.7622,-5.3372,55.7614,-101.511,-20.9776,-21.2545,15.3356,-9.57908,-16.1521,71.9365,279.158,92.0475
8,0,,13.8369,20.5149,-72.6495,0,15.7335,,-30.0624,16.3979,-13.6374,2.6856,-7.75299,,0,0,0,-3.4422,-14.4579,4.71306,2.90561,33.2295,-3.73711,29.0278,-42.0657,77.9489,0,73.2177,,-30.4103,4.63686,-5.37343,-1.32923,8.12275,,-0.127001,5.43154,-4.99361,7.22729,-8.64469,0.398103,-40.8066,-14.9885,-14.3583,-0.488502,-11.8252,0.854955,-28.7867,957.541,266.777,,-62.4381,12.2476,-21.8231,0,-123.441,,133.582,84.7645,131.222,73.1526,146.617,,0,0,0,-5.8257,20.912,20.2416,11.0129,-50.4597,-52.6349,-85.6694,12.6932,-48.2088,0,61.2026,,125.001,-66.3523,-49.2466,-63.709,-23.6787,,65.2397,-21.6542,24.5459,-18.942,19.9769,76.9389,-30.0422,-19.1134,25.2475,-7.13891,-23.4433,-40.3354,-4.8494,420.141,134.376
9,0,,13.2255,20.9328,-73.0815,0,14.2888,,-28.6698,17.194,-11.9425,3.37967,-5.96754,,0,0,0,-3.4793,-14.4754,4.93673,3.28491,33.6641,-4.39022,28.4067,-42.9173,78.1428,0,73.3488,,-29.0673,4.00539,-5.66626,-1.67207,7.88646,,0.649136,5.36937,-4.58297,7.02811,-8.28144,1.32747,-40.6915,-15.1497,-13.7577,-0.577387,-12.1671,0.32272,-29.3289,962.987,268.35,,-61.1318,41.7929,-43.2023,0,-144.461,,139.262,79.6147,169.487,69.4077,178.545,,0,0,0,-3.70931,-1.75416,22.3671,37.9297,43.4643,-65.3118,-62.1137,-85.1636,19.3923,0,13.1167,,134.301,-63.147,-29.2832,-34.2843,-23.6287,,77.6137,-6.21697,41.0631,-19.9176,36.3249,92.9367,11.516,-16.1184,60.0585,-8.88851,-34.1875,-53.2235,-54.2166,544.643,157.326
