Segments
100
,,Subject1:LowerBack,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
1,0,2.60213,135.834,116.965,-94.7332,-67.4705,1157.18
2,0,2.70369,135.738,116.851,-95.7782,-68.7902,1157.14
3,0,2.86417,135.58,116.725,-97.2148,-70.5623,1157.15
4,0,3.07093,135.412,116.553,-99.02,-72.8279,1157.22
5,0,3.32517,135.194,116.394,-101.165,-75.4721,1157.32
6,0,3.59968,134.92,116.247,-103.49,-78.3861,1157.53
7,0,3.89629,134.647,116.094,-105.985,-81.6026,1157.81
8,0,4.2149,134.329,115.986,-108.567,-84.9432,1158.13
9,0,4.53877,134.031,115.886,-111.16,-88.4284,1158.53
10,0,4.86949,133.687,115.853,-113.674,-91.8854,1158.94
11,0,5.18148,133.365,115.841,-116.115,-95.3579,1159.4
12,0,5.48148,133.031,115.877,-118.384,-98.7775,1159.87
13,0,5.74358,132.691,115.942,-120.388,-102.131,1160.3
14,0,6.00576,132.353,116.054,-122.287,-105.409,1160.75
15,0,6.24866,132.008,116.21,-124.011,-108.573,1161.19
16,0,6.47188,131.661,116.384,-125.509,-111.683,1161.56
17,0,6.67025,131.308,116.573,-126.769,-114.747,1161.86
18,0,6.87036,130.948,116.783,-127.876,-117.734,1162.1
19,0,7.06621,130.58,116.996,-128.785,-120.705,1162.25
20,0,7.25043,130.206,117.212,-129.495,-123.666,1162.31
21,0,7.44527,129.822,117.422,-130.026,-126.633,1162.28
22,0,7.6506,129.43,117.623,-130.382,-129.613,1162.17
23,0,7.86765,129.035,117.811,-130.573,-132.655,1161.99
24,0,8.10947,128.637,117.978,-130.61,-135.75,1161.73
25,0,8.35592,128.211,118.135,-130.395,-138.871,1161.43
26,0,8.65685,127.816,118.263,-130.184,-142.11,1161.09
27,0,8.98811,127.421,118.355,-129.786,-145.472,1160.72
28,0,9.36669,127.034,118.417,-129.313,-148.937,1160.33
29,0,9.78679,126.658,118.445,-128.72,-152.532,1159.93
30,0,10.2529,126.294,118.439,-128.044,-156.25,1159.52
31,0,10.7702,125.94,118.396,-127.282,-160.09,1159.1
32,0,11.3348,125.607,118.312,-126.463,-164.08,1158.66
33,0,11.9533,125.283,118.189,-125.579,-168.182,1158.21
34,0,12.6208,124.983,118.015,-124.659,-172.465,1157.71
35,0,13.3425,124.688,117.799,-123.696,-176.829,1157.17
36,0,14.1002,124.405,117.546,-122.712,-181.303,1156.56
37,0,14.9039,124.141,117.237,-121.734,-185.934,1155.86
38,0,15.7519,123.87,116.89,-120.758,-190.61,1155.07
39,0,16.6374,123.61,116.494,-119.821,-195.399,1154.17
40,0,17.5603,123.345,116.056,-118.931,-200.242,1153.16
41,0,18.5207,123.075,115.575,-118.115,-205.13,1152.04
42,0,19.5225,122.793,115.052,-117.385,-210.038,1150.83
43,0,20.5669,122.496,114.488,-116.764,-214.946,1149.54
44,0,21.6534,122.181,113.884,-116.264,-219.837,1148.2
45,0,22.793,121.84,113.242,-115.906,-224.666,1146.86
46,0,23.9814,121.472,112.565,-115.696,-229.415,1145.54
47,0,25.2279,121.073,111.853,-115.646,-234.048,1144.3
48,0,26.5252,120.645,111.111,-115.772,-238.552,1143.18
49,0,27.881,120.181,110.342,-116.071,-242.877,1142.23
50,0,29.2853,119.685,109.549,-116.544,-247.002,1141.48
51,0,30.7282,119.161,108.745,-117.198,-250.9,1140.97
52,0,32.2026,118.607,107.931,-118.011,-254.544,1140.72
53,0,33.6983,118.028,107.118,-118.982,-257.91,1140.75
54,0,35.2005,117.428,106.311,-120.091,-260.985,1141.05
55,0,36.6973,116.812,105.523,-121.329,-263.754,1141.63
56,0,38.177,116.185,104.756,-122.67,-266.212,1142.45
57,0,39.6296,115.55,104.018,-124.095,-268.36,1143.49
58,0,41.0481,114.912,103.311,-125.587,-270.209,1144.7
59,0,42.4265,114.275,102.634,-127.123,-271.775,1146.04
60,0,43.7652,113.64,101.988,-128.694,-273.074,1147.45
61,0,45.0655,113.011,101.368,-130.289,-274.13,1148.88
62,0,46.3282,112.39,100.766,-131.894,-274.976,1150.27
63,0,47.5625,111.775,100.177,-133.514,-275.635,1151.57
64,0,48.7709,111.171,99.5885,-135.141,-276.146,1152.75
65,0,49.9634,110.573,98.993,-136.783,-276.536,1153.76
66,0,51.1461,109.983,98.3802,-138.441,-276.836,1154.58
67,0,52.3222,109.401,97.7394,-140.125,-277.087,1155.21
68,0,53.4972,108.825,97.0625,-141.825,-277.311,1155.63
69,0,54.6732,108.253,96.345,-143.551,-277.534,1155.86
70,0,55.8496,107.687,95.5809,-145.304,-277.788,1155.92
71,0,57.0245,107.125,94.7689,-147.089,-278.093,1155.82
72,0,58.1955,106.564,93.9103,-148.888,-278.454,1155.59
73,0,59.3569,106.006,93.0104,-150.705,-278.88,1155.26
74,0,60.5015,105.454,92.0728,-152.54,-279.39,1154.87
75,0,61.6256,104.904,91.1057,-154.372,-279.965,1154.44
76,0,62.7453,104.358,90.0858,-156.216,-280.65,1153.93
77,0,63.7396,103.849,89.1377,-157.976,-281.359,1153.52
78,0,64.748,103.32,88.154,-159.765,-282.113,1153.1
79,0,65.7106,102.785,87.1767,-161.458,-282.888,1152.7
80,0,66.618,102.244,86.222,-163.041,-283.665,1152.3
81,0,67.4743,101.608,85.2832,-164.354,-284.318,1151.82
82,0,68.2101,101.092,84.4479,-165.583,-285.098,1151.52
83,0,68.9445,100.538,83.5931,-166.745,-285.868,1151.19
84,0,69.6339,99.9603,82.7651,-167.731,-286.627,1150.89
85,0,70.2769,99.3587,81.9698,-168.527,-287.366,1150.59
86,0,70.8776,98.7309,81.2049,-169.124,-288.091,1150.3
87,0,71.4444,98.0709,80.4691,-169.525,-288.796,1150.02
88,0,71.9826,97.3769,79.759,-169.733,-289.487,1149.75
89,0,72.4969,96.6484,79.0735,-169.761,-290.169,1149.52
90,0,72.9909,95.8859,78.4134,-169.617,-290.845,1149.34
91,0,73.4664,95.0929,77.7798,-169.318,-291.52,1149.21
