Segments
100
,,Subject1:LowerBack,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
1,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,,,,,,,
11,,,,,,,
12,,,,,,,
13,,,,,,,
14,,,,,,,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,,,,,,,
19,,,,,,,
20,,,,,,,
21,,,,,,,
22,,,,,,,
23,0,8.35304,142.569,103.999,-83.2491,-444.787,1155.68
24,0,8.37115,142.811,103.82,-81.8362,-444.089,1155.87
25,0,8.41224,143.084,103.605,-80.4313,-443.494,1155.91
26,0,8.38522,143.363,103.371,-79.0179,-443.033,1155.95
27,0,8.38243,143.675,103.092,-77.6441,-442.715,1155.84
28,0,8.39504,144.012,102.773,-76.3268,-442.456,1155.58
29,0,8.44232,144.374,102.356,-75.0409,-442.541,1155.24
30,0,8.52449,144.722,101.964,-73.8574,-442.498,1154.65
31,0,8.61584,145.229,101.361,-72.8241,-443.155,1154.12
32,0,8.74342,145.753,100.716,-71.906,-443.948,1153.41
33,0,8.90726,146.313,100.008,-71.1327,-444.877,1152.48
34,0,9.11077,146.912,99.2339,-70.5259,-445.95,1151.32
35,0,9.34965,147.554,98.3944,-70.0934,-447.164,1149.93
36,0,9.62992,147.982,97.7552,-69.6969,-447.115,1147.3
37,0,9.91258,148.78,96.7367,-69.5977,-448.88,1145.63
38,0,10.256,149.611,95.6459,-69.7602,-450.788,1143.56
39,0,10.6323,150.464,94.4941,-70.0922,-452.76,1141.08
40,0,11.0338,151.344,93.2904,-70.5803,-454.785,1138.21
41,0,11.432,151.863,92.489,-70.9245,-455.107,1133.51
42,0,11.8209,152.907,91.1017,-71.6484,-457.59,1130.23
43,0,12.281,153.95,89.6511,-72.5952,-460.181,1126.32
44,0,12.7431,155.001,88.1608,-73.6395,-462.793,1121.85
45,0,13.1994,156.067,86.6399,-74.7632,-465.416,1116.85
46,0,13.5861,156.858,85.3777,-75.4964,-466.653,1109.68
47,0,14.0244,158.025,83.7454,-76.7519,-469.557,1104.23
48,0,14.4759,159.195,82.0714,-78.1514,-472.55,1097.99
49,0,14.8712,160.179,80.6545,-79.3652,-474.676,1089.93
50,0,15.2678,161.109,79.2605,-80.4939,-476.479,1081.65
51,0,15.6704,162.157,77.695,-81.8108,-478.87,1073.36
52,0,16.0362,163.164,76.1543,-83.1111,-481.138,1064.56
53,0,16.4177,164.195,74.5959,-84.4566,-483.366,1055.53
54,0,16.7951,165.092,73.1436,-85.756,-485.33,1046.01
55,0,17.1697,166,71.6695,-87.0625,-487.219,1036.4
56,0,17.572,166.809,70.297,-88.3772,-488.858,1026.67
57,0,17.9451,167.53,68.9695,-89.7249,-490.318,1016.83
58,0,18.3508,168.236,67.6301,-91.0748,-491.644,1007.34
59,0,18.7686,168.841,66.4176,-92.4852,-492.671,998.042
60,0,19.1953,169.368,65.2274,-93.8963,-493.5,989.126
61,0,19.6497,169.824,64.0921,-95.4073,-494.099,980.746
62,0,20.1099,170.21,62.9968,-96.9123,-494.439,972.968
63,0,20.5634,170.526,61.9886,-98.418,-494.49,965.874
64,0,21.022,170.769,61.0587,-99.9132,-494.213,959.499
65,0,21.4612,170.941,60.237,-101.318,-493.555,953.858
66,0,21.8576,171.039,59.5491,-102.552,-492.468,948.948
67,0,22.1889,171.069,59.0308,-103.546,-490.886,944.752
68,0,22.4353,171.005,58.6964,-104.185,-488.765,941.268
69,0,22.5793,170.872,58.5894,-104.431,-486.03,938.485
70,0,22.6126,170.667,58.717,-104.249,-482.684,936.471
71,0,22.5026,170.377,59.1363,-103.493,-478.553,935.138
72,0,22.2542,170.007,59.8269,-102.206,-473.697,934.652
73,0,21.8894,169.558,60.7978,-100.415,-468.068,935.078
74,0,21.4473,169.043,61.9902,-98.3041,-461.756,936.724
75,0,20.8641,168.451,63.4474,-95.6393,-454.688,939.518
76,0,20.1819,167.788,65.1338,-92.6217,-446.889,943.709
77,0,19.4168,167.066,67.0015,-89.3063,-438.477,949.533
78,0,18.6129,166.272,69.0183,-85.8403,-429.446,957.13
79,0,17.7876,165.409,71.1426,-82.2967,-419.889,966.681
80,0,16.9657,164.473,73.3338,-78.7581,-409.873,978.305
81,0,16.1658,163.46,75.5602,-75.2843,-399.472,992.061
82,0,15.403,162.363,77.7898,-71.9187,-388.764,1007.94
83,0,14.6385,161.189,79.9992,-68.616,-377.942,1025.91
84,0,14.0273,159.908,82.1454,-65.6219,-366.773,1045.59
85,0,13.415,158.564,84.2089,-62.7021,-355.74,1066.96
86,0,12.8625,157.164,86.1625,-59.9865,-344.848,1089.62
87,0,12.3354,155.733,87.9819,-57.401,-334.245,1113.2
88,0,11.8799,154.326,89.6167,-55.0406,-324.151,1137.41
89,0,11.4156,152.986,91.0585,-52.8416,-314.627,1161.87
90,0,10.9709,151.733,92.3188,-50.767,-305.742,1186.25
91,0,10.6341,150.748,93.2781,-49.2391,-297.956,1211.28
92,0,10.2324,149.904,94.0589,-47.7106,-290.817,1235.28
93,0,9.84822,149.343,94.5737,-46.5262,-284.751,1258.61
94,0,9.52283,149.069,94.9202,-45.9211,-279.587,1281.62
95,0,9.23417,149.123,95.0266,-45.7897,-275.455,1303.59
96,0,9.01238,149.42,95.0374,-46.2604,-272.11,1324.23
97,0,8.76497,149.936,94.9401,-47.0072,-269.453,1343.06
98,0,8.51425,150.585,94.8199,-48.0235,-267.228,1360.08
99,0,8.34216,151.456,94.4784,-49.178,-265.669,1375.5
100,0,8.13348,152.224,94.3904,-50.3573,-263.862,1389.2
101,0,7.78297,153.159,93.8839,-51.3147,-262.81,1401.31
102,0,7.56489,154.094,93.6091,-52.2571,-261.548,1412.75
103,0,7.3154,154.775,93.5403,-52.8925,-259.342,1422.55
104,0,6.9919,155.475,93.3141,-53.2589,-257.474,1431.7
105,0,6.72858,155.985,93.2184,-53.6621,-255.027,1439.93
106,0,6.49283,156.592,92.9389,-53.6855,-252.617,1448.06
107,0,6.31773,157.033,92.677,-53.717,-250.145,1455.69
108,0,6.12638,157.399,92.468,-53.5534,-247.082,1462.75
109,0,5.78844,157.446,92.5945,-52.5064,-242.026,1468.69
110,0,5.55404,157.469,92.6786,-52.005,-237.584,1474.56
111,0,5.3536,157.546,92.6896,-51.2261,-232.854,1480.36
112,0,5.19169,157.458,92.7778,-50.311,-227.639,1485.46
113,0,5.01146,157.207,93.0986,-49.5272,-221.897,1489.77
114,0,4.8368,156.954,93.4503,-48.5062,-215.679,1493.58
115,0,4.70225,156.548,93.9266,-47.5036,-209.083,1496.4
116,0,4.59652,156.143,94.3195,-46.5759,-202.652,1498.39
117,0,4.46313,155.449,95.2545,-45.5926,-194.902,1498.94
118,0,4.36308,154.659,96.2818,-44.747,-186.994,1498.17
119,0,4.35109,153.822,97.4016,-44.3612,-179.414,1496.32
