Segments
100
,,Subject1:LowerBack,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
1,0,0.386284,137.633,115.644,-40.0682,-150.535,1149.85
2,0,0.39545,137.765,115.542,-40.019,-150.305,1150.01
3,0,0.384472,137.963,115.394,-39.9684,-150.014,1150.18
4,0,0.370816,138.228,115.181,-39.9221,-149.683,1150.37
5,0,0.357945,138.556,114.905,-39.892,-149.326,1150.58
6,0,0.34873,138.95,114.563,-39.9044,-148.977,1150.8
7,0,0.347263,139.408,114.151,-39.9753,-148.666,1151.01
8,0,0.357332,139.931,113.664,-40.125,-148.429,1151.19
9,0,0.475277,140.526,113.019,-40.3668,-148.36,1151.32
10,0,0.465663,141.178,112.406,-40.7363,-148.352,1151.45
11,0,0.511258,141.892,111.687,-41.2091,-148.518,1151.51
12,0,0.589368,142.676,110.873,-41.8338,-148.882,1151.5
13,0,0.777684,143.489,110.011,-42.7867,-149.334,1151.37
14,0,0.953174,144.437,108.963,-43.7663,-150.19,1151.22
15,0,1.16731,145.472,107.75,-44.7998,-151.314,1150.89
16,0,1.33166,146.506,106.555,-45.9558,-152.485,1150.59
17,0,1.41814,147.576,105.337,-47.0432,-153.63,1150.03
18,0,1.62423,148.769,103.816,-48.1887,-155.332,1149.53
19,0,1.80532,149.991,102.156,-49.1303,-157.084,1148.78
20,0,1.91533,151.238,100.467,-50.0584,-158.987,1148.11
21,0,1.95157,152.496,98.7172,-50.7701,-160.741,1147.16
22,0,2.03761,153.846,96.7186,-51.3938,-162.967,1146.37
23,0,2.09884,155.145,94.631,-51.7735,-164.941,1145.3
24,0,2.08806,156.561,92.4447,-52.0926,-167.245,1144.51
25,0,2.08426,157.995,90.1125,-52.2978,-169.499,1143.64
26,0,2.08718,159.45,87.6352,-52.4253,-171.597,1142.68
27,0,2.06643,160.965,85.0707,-52.469,-173.909,1142.03
28,0,2.0669,162.477,82.378,-52.4749,-176.045,1141.35
29,0,2.08582,163.972,79.6584,-52.4837,-177.769,1140.61
30,0,2.01309,165.55,76.9031,-52.4156,-179.454,1139.92
31,0,2.13907,167.086,73.7402,-52.426,-181.335,1139.63
32,0,2.25624,168.657,70.4195,-52.3031,-182.796,1139.05
33,0,2.28901,170.133,67.2797,-52.1992,-183.989,1138.72
34,0,2.28799,171.587,64.2409,-52.0793,-184.384,1137.9
35,0,2.33545,173.016,60.9055,-51.7879,-184.788,1137.16
36,0,2.36291,174.371,57.531,-51.3493,-184.775,1136.21
37,0,2.37656,175.649,54.1167,-50.7513,-184.35,1135.01
38,0,2.30283,176.87,50.7496,-50.0005,-183.494,1133.49
39,0,2.30114,177.968,47.2829,-49.0753,-182.213,1131.62
40,0,2.19901,179.008,43.903,-47.9824,-180.52,1129.34
41,0,2.094,179.952,40.528,-46.7302,-178.437,1126.63
42,0,1.99817,180.798,37.1636,-45.3356,-175.995,1123.46
43,0,1.90621,181.55,33.8281,-43.8142,-173.234,1119.81
44,0,1.81114,182.186,30.4664,-42.152,-170.198,1115.73
45,0,1.75413,182.749,27.0655,-40.3279,-166.978,1111.16
46,0,1.60511,183.304,24.1353,-38.6195,-163.482,1106
47,0,1.51963,183.74,21.0282,-36.7958,-159.889,1100.49
48,0,1.49109,184.052,17.9049,-34.8717,-156.154,1094.52
49,0,1.41681,184.398,15.0629,-33.0171,-152.345,1088.08
50,0,1.40921,184.597,12.1413,-31.1499,-148.444,1081.32
51,0,1.39512,184.797,9.39145,-29.2957,-144.469,1074.16
52,0,1.43577,184.906,6.64292,-27.5719,-140.413,1066.76
53,0,1.47398,185.023,4.02857,-25.9355,-136.311,1059.08
54,0,1.54897,184.99,1.38997,-24.3863,-132.117,1051.28
55,0,1.62351,185.026,-1.05701,-22.9661,-127.841,1043.22
56,0,1.76745,185.027,-3.5147,-21.8845,-123.498,1035.17
57,0,1.90755,184.981,-5.89641,-20.8836,-119.075,1027.04
58,0,2.08234,184.971,-8.19051,-20.1498,-114.585,1018.87
59,0,2.26021,184.916,-10.4437,-19.5551,-110.034,1010.72
60,0,2.4695,184.913,-12.604,-19.1821,-105.426,1002.56
61,0,2.683,184.869,-14.7236,-18.9576,-100.792,994.475
62,0,2.92589,184.846,-16.75,-18.9181,-96.1404,986.393
63,0,3.18047,184.834,-18.7128,-19.0061,-91.454,978.374
64,0,3.43259,184.833,-20.5948,-19.1636,-86.7912,970.388
65,0,3.7231,184.793,-22.4207,-19.5139,-82.1368,962.475
66,0,4.03081,184.734,-24.174,-19.9667,-77.4961,954.616
67,0,4.36297,184.644,-25.845,-20.5443,-72.8555,946.758
68,0,4.70929,184.497,-27.4549,-21.1897,-68.282,939.089
69,0,5.06325,184.325,-28.9789,-21.9386,-63.7149,931.42
70,0,5.42474,184.095,-30.4213,-22.7585,-59.1788,923.834
71,0,5.79178,183.827,-31.7814,-23.6629,-54.6569,916.294
72,0,6.16801,183.489,-33.0707,-24.6867,-50.1325,908.85
73,0,6.5342,183.112,-34.2831,-25.7832,-45.6513,901.508
74,0,6.91221,182.694,-35.4116,-27.0202,-41.1825,894.236
75,0,7.30189,182.236,-36.4673,-28.3799,-36.7081,887.057
76,0,7.68214,181.739,-37.4681,-29.8929,-32.2993,880.093
77,0,8.08607,181.206,-38.3971,-31.5774,-27.9061,873.251
78,0,8.48389,180.637,-39.2791,-33.4531,-23.6287,866.703
79,0,8.9163,180.047,-40.1091,-35.533,-19.4053,860.34
80,0,9.34543,179.42,-40.8909,-37.8448,-15.3412,854.325
81,0,9.81041,178.764,-41.6312,-40.4408,-11.4245,848.617
82,0,10.296,178.088,-42.3245,-43.3026,-7.69665,843.236
83,0,10.8034,177.382,-42.9783,-46.4394,-4.18845,838.238
84,0,11.3351,176.661,-43.5688,-49.8422,-0.88963,833.527
85,0,11.883,175.921,-44.1155,-53.4857,2.1765,829.21
86,0,12.445,175.183,-44.5963,-57.326,5.04757,825.186
87,0,13.016,174.459,-45.0074,-61.3184,7.75704,821.444
88,0,13.5288,173.627,-45.4677,-65.1178,10.4725,818.453
89,0,14.128,173.09,-45.6976,-69.352,12.9382,814.987
90,0,14.6173,172.38,-46.0298,-73.0572,15.6427,812.511
91,0,15.1397,171.862,-46.2601,-76.8505,18.3599,809.989
92,0,15.5834,171.422,-46.4929,-80.2628,21.3265,807.87
93,0,16.0018,170.997,-46.7593,-83.4253,24.6311,806.199
94,0,16.3746,170.662,-47.0357,-86.2437,28.3083,804.82
95,0,16.7137,170.379,-47.3121,-88.8604,32.3657,803.661
96,0,16.957,170.118,-47.6566,-90.8994,36.9566,802.887
97,0,17.1376,169.893,-48.0472,-92.5646,42.0454,802.372
98,0,17.2473,169.683,-48.4536,-93.8807,47.5897,801.929
99,0,17.2912,169.478,-48.8707,-94.8795,53.5371,801.488
100,0,17.2452,169.267,-49.2811,-95.5272,59.8266,800.977
101,0,17.1336,169.045,-49.6666,-95.9046,66.3586,800.269
102,0,16.9142,168.82,-49.9891,-95.9136,72.9934,799.247
