Segments
100
,,Subject1:LowerBack,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
1,0,4.06304,124.321,125.684,101.337,-243.734,1188.98
2,0,4.70127,124.082,125.695,101.588,-243.1,1195.12
3,0,4.74725,123.907,125.719,101.22,-242.071,1203.51
4,0,4.39324,123.6,126.134,101.463,-241.305,1213.72
5,0,4.05014,123.202,126.573,101.158,-239.529,1224.44
6,0,4.94189,122.822,126.614,101.229,-238.123,1235.45
7,0,5.18225,122.495,126.933,101.221,-236.767,1246.73
8,0,5.5346,122.118,127.185,101.281,-235.567,1257.51
9,0,5.61387,121.766,127.113,101.37,-233.557,1267.44
10,0,6.26664,121.57,127.504,101.163,-233.327,1277.04
11,0,6.54508,121.238,127.761,101.378,-232.498,1285.05
12,0,6.50846,121.567,127.113,101.054,-231.766,1292.63
13,0,6.82442,121.413,127.746,101.201,-231.412,1298.2
14,0,7.28119,121.445,127.512,101.177,-231.033,1302.74
15,0,7.38856,121.199,127.877,101.224,-230.67,1306.08
16,0,7.73747,121.273,127.703,101.292,-230.265,1308.12
17,0,8.17096,120.909,127.705,101.389,-229.926,1309.01
18,0,8.05706,121.351,127.762,101.433,-229.792,1308.83
19,0,8.40876,121.2,127.643,101.667,-229.527,1307.71
20,0,8.32398,121.462,127.694,101.983,-229.405,1305.61
21,0,8.54747,121.532,127.537,102.309,-229.334,1302.66
22,0,8.84908,121.604,127.371,102.658,-229.248,1298.79
23,0,9.17973,121.62,127.162,103.091,-229.161,1294.09
24,0,9.42638,121.7,126.941,103.608,-229.154,1288.41
25,0,9.6579,121.754,126.68,104.167,-229.185,1281.88
26,0,9.86444,121.829,126.368,104.947,-229.343,1274.21
27,0,9.99527,121.924,126.12,105.363,-229.315,1266.02
28,0,10.087,122.073,125.794,105.948,-229.628,1256.54
29,0,10.2169,122.193,125.531,106.517,-229.7,1246.64
30,0,10.2696,122.423,125.222,107,-230.108,1235.63
31,0,10.4278,122.655,124.951,107.332,-230.417,1224.25
32,0,10.4723,122.947,124.681,107.715,-230.901,1212.47
33,0,10.5533,123.251,124.451,107.927,-231.347,1200.87
34,0,10.5574,123.542,124.221,108.321,-231.879,1189.72
35,0,10.5091,123.829,124.026,108.693,-232.399,1179.47
36,0,10.4071,124.081,123.863,109.079,-232.845,1170.62
37,0,10.3162,124.301,123.733,109.413,-233.204,1163.63
38,0,10.2024,124.465,123.638,109.75,-233.428,1158.9
39,0,10.0739,124.562,123.586,110.16,-233.468,1156.69
40,0,10.0236,124.64,123.569,110.332,-233.444,1157.12
41,0,9.98733,124.649,123.594,110.558,-233.272,1160.27
42,0,10.0137,124.618,123.714,110.59,-233.107,1165.9
43,0,9.76849,124.565,123.907,110.435,-232.749,1173.83
44,0,9.63268,124.51,124.119,110.175,-232.341,1183.52
45,0,9.44386,124.43,124.377,109.784,-231.881,1194.58
46,0,9.17183,124.376,124.691,109.354,-231.583,1206.3
47,0,8.84979,124.326,125.038,108.813,-231.271,1218.35
48,0,8.54209,124.273,125.389,108.247,-231.021,1230.27
49,0,7.83139,124.36,125.749,107.565,-231.042,1241.82
50,0,7.82462,124.204,126.161,106.639,-230.571,1252.7
51,0,7.29049,124.334,126.235,105.859,-230.76,1262.63
52,0,7.01855,124.181,126.687,105.187,-230.632,1271.54
53,0,6.83345,124.026,126.935,104.582,-230.533,1279.23
54,0,6.69192,123.807,127.209,103.836,-230.529,1285.83
55,0,6.31563,123.844,127.24,103.582,-230.572,1290.9
56,0,6.07472,123.792,127.252,103.068,-230.819,1294.88
57,0,5.98404,123.537,127.327,103.317,-231.161,1297.31
58,0,5.73546,123.548,127.223,102.641,-231.176,1298.79
59,0,5.70129,123.405,127.05,102.524,-231.15,1298.52
60,0,5.72522,123.339,126.754,102.16,-231.439,1296.98
61,0,5.52247,123.037,126.99,102.344,-231.441,1294.89
62,0,5.57865,122.768,127.034,102.472,-231.464,1291.42
63,0,5.3942,122.514,126.995,102.534,-231.396,1286.39
64,0,5.39699,122.212,126.988,102.758,-231.289,1280.38
65,0,5.34444,121.936,126.965,102.932,-231.259,1272.93
66,0,5.35977,121.64,126.946,103.188,-231.191,1264.43
67,0,5.25054,121.398,126.861,103.406,-231.305,1254.51
68,0,5.33983,121.16,126.888,103.612,-231.293,1243.95
69,0,5.14207,120.997,126.782,103.801,-231.654,1232.01
70,0,5.1166,120.911,126.794,103.973,-231.82,1220.04
71,0,5.0297,120.904,126.745,104.112,-232.114,1207.63
72,0,4.98591,120.961,126.69,104.131,-232.364,1195.34
73,0,4.64616,121.091,126.671,104.219,-232.792,1183.66
74,0,4.15015,121.263,126.658,104.171,-233.208,1172.96
75,0,3.84525,121.463,126.752,104.099,-233.321,1164.3
76,0,3.53804,121.639,126.83,103.977,-233.32,1157.79
77,0,3.19681,121.829,126.93,103.826,-233.286,1153.56
78,0,2.76056,121.984,127.122,103.749,-232.995,1152.06
79,0,2.55045,122.077,127.325,103.601,-232.542,1153.42
80,0,2.14092,122.173,127.521,103.55,-232.149,1157.56
81,0,1.75231,122.23,127.71,103.427,-231.816,1163.98
82,0,1.48188,122.28,127.968,103.449,-231.263,1172.87
83,0,1.71644,122.21,128.128,103.269,-230.586,1183.05
84,0,1.38069,122.339,128.331,103.241,-230.364,1194.89
85,0,1.19911,122.426,128.418,103.045,-230.352,1206.86
86,0,1.25305,122.491,128.609,103.058,-230.063,1219.77
87,0,1.33952,122.618,128.596,102.752,-230.241,1231.84
88,0,2.06459,122.339,128.627,102.401,-229.78,1243.4
89,0,1.74856,122.753,128.715,102.355,-230.457,1254.91
90,0,2.32812,122.633,128.704,101.848,-230.422,1264.56
91,0,2.2445,122.925,128.677,101.75,-231.016,1273.74
92,0,2.56301,122.991,128.633,101.433,-231.317,1281.32
93,0,2.95382,123.004,128.608,101.12,-231.526,1287.65
94,0,3.82578,122.594,128.589,100.563,-231.271,1292.32
95,0,3.76541,123.035,128.467,100.452,-231.745,1296.35
96,0,4.25372,122.963,128.456,100.143,-231.767,1298.77
97,0,4.87068,122.246,128.67,99.9115,-231.495,1300.12
98,0,5.29458,122.846,128.29,99.5274,-231.464,1300.07
99,0,5.97074,122.162,128.415,99.3196,-231.185,1299.1
100,0,6.50417,122.562,128.139,99.0104,-230.775,1296.69
101,0,6.60665,122.705,128.043,98.9507,-230.709,1293.4
102,0,7.20937,122.627,127.871,98.901,-230.425,1288.94
103,0,7.65244,122.341,127.722,98.8831,-230.251,1283.49
104,0,7.7569,122.721,127.55,98.8899,-230.281,1276.89
105,0,8.06494,122.622,127.263,99.0177,-230.273,1269.33
