Segments
100
,,Subject1:LowerBack,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
1,0,27.951,125.697,108.42,9.49177,-75.8597,1159.8
2,0,28.1115,125.454,108.283,8.6642,-75.468,1160.85
3,0,29.054,125.005,107.685,6.91546,-77.1706,1162.47
4,0,29.7179,124.806,107.382,4.48882,-77.4581,1164.01
5,0,30.4608,124.618,107.028,1.62969,-78.0196,1165.9
6,0,31.2659,124.427,106.638,-1.48355,-78.7254,1168.08
7,0,32.1157,124.252,106.218,-4.78301,-79.6126,1170.49
8,0,32.9861,124.102,105.779,-8.15349,-80.6729,1173.1
9,0,33.849,123.96,105.321,-11.4336,-81.869,1175.82
10,0,34.7088,123.89,104.875,-14.7408,-83.2344,1178.61
11,0,35.5501,123.864,104.433,-17.9469,-84.7328,1181.36
12,0,36.3575,123.889,104.006,-21.0183,-86.3398,1183.99
13,0,37.1214,123.962,103.596,-23.9319,-88.0459,1186.43
14,0,37.8321,124.077,103.21,-26.6556,-89.8254,1188.58
15,0,38.4824,124.231,102.851,-29.1904,-91.6587,1190.41
16,0,39.0669,124.422,102.528,-31.5485,-93.5294,1191.84
17,0,39.5963,124.637,102.235,-33.7517,-95.4179,1192.83
18,0,40.0655,124.877,101.984,-35.8245,-97.3039,1193.34
19,0,40.4844,125.129,101.771,-37.7908,-99.1724,1193.32
20,0,40.8598,125.386,101.596,-39.6692,-101.013,1192.75
21,0,41.2007,125.638,101.454,-41.4784,-102.829,1191.6
22,0,41.5164,125.874,101.341,-43.2196,-104.608,1189.86
23,0,41.8175,126.083,101.25,-44.9033,-106.357,1187.53
24,0,42.1153,126.258,101.17,-46.5392,-108.086,1184.63
25,0,42.4213,126.384,101.097,-48.1233,-109.773,1181.21
26,0,42.7503,126.467,101.012,-49.7071,-111.477,1177.34
27,0,43.1078,126.499,100.915,-51.2941,-113.163,1173.11
28,0,43.5164,126.48,100.782,-52.9266,-114.853,1168.63
29,0,43.9823,126.396,100.618,-54.6058,-116.479,1164.02
30,0,44.5105,126.266,100.412,-56.3988,-118.073,1159.42
31,0,45.1458,126.093,100.16,-58.4714,-119.586,1154.83
32,0,45.8023,125.874,99.8464,-60.4965,-121.069,1150.74
33,0,46.5612,125.607,99.4912,-62.7988,-122.334,1146.97
34,0,47.3758,125.308,99.0747,-65.2334,-123.486,1143.76
35,0,48.2648,124.973,98.6121,-67.8896,-124.409,1141.11
36,0,49.2025,124.607,98.0991,-70.6923,-125.127,1139.13
37,0,50.1849,124.213,97.5473,-73.6527,-125.589,1137.8
38,0,51.1911,123.792,96.962,-76.7196,-125.798,1137.13
39,0,52.2078,123.346,96.3549,-79.868,-125.736,1137.09
40,0,53.2167,122.878,95.7357,-83.0568,-125.409,1137.6
41,0,54.2027,122.39,95.1166,-86.2526,-124.819,1138.6
42,0,55.152,121.886,94.507,-89.4293,-123.982,1139.99
43,0,56.0381,121.372,93.913,-92.5421,-122.928,1141.63
44,0,56.882,120.863,93.3455,-95.6822,-121.669,1143.46
45,0,57.6762,120.339,92.8136,-98.738,-120.205,1145.5
46,0,58.3996,119.81,92.3211,-101.712,-118.531,1147.45
