Segments
100
,,Subject1:LowerBack,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
1,0,-0.338831,132.443,123.377,-1.51984,177.675,1136.76
2,0,-0.445091,132.44,123.337,-1.31439,177.769,1136.76
3,0,-0.548182,132.408,123.278,-1.07081,177.917,1137.02
4,0,-0.72065,132.214,123.35,-0.720904,178.641,1137.48
5,0,-0.78524,132.133,123.235,-0.554915,178.913,1138.49
6,0,-0.825703,132.008,123.115,-0.312188,179.396,1139.97
7,0,-0.812231,131.811,123.01,-0.345751,179.921,1142.15
8,0,-0.745377,131.564,122.92,-0.473287,180.596,1145.01
9,0,-0.680206,131.219,122.887,-0.585509,181.502,1148.7
10,0,-0.514598,130.878,122.796,-0.988117,182.365,1153.05
11,0,-0.298475,130.465,122.733,-1.5508,183.351,1158.05
12,0,-0.0262374,130.067,122.624,-2.30787,184.396,1163.63
13,0,0.288683,129.637,122.512,-3.23363,185.426,1169.66
14,0,0.671238,129.09,122.472,-4.33035,186.768,1176.01
15,0,1.07955,128.533,122.404,-5.55932,188.064,1182.49
16,0,1.54099,128.01,122.272,-6.95726,189.319,1188.96
17,0,2.05756,127.376,122.2,-8.48512,190.745,1195.27
18,0,2.62623,126.796,122.045,-10.1632,192.086,1201.25
19,0,3.2353,126.136,121.906,-11.8909,193.413,1206.72
20,0,3.89031,125.538,121.674,-13.7292,194.598,1211.59
21,0,4.63491,124.844,121.478,-15.6339,195.909,1215.79
22,0,5.39315,124.181,121.208,-17.5396,197.003,1219.11
23,0,6.20883,123.555,120.862,-19.4976,197.941,1221.53
24,0,7.11067,122.869,120.535,-21.5279,198.904,1223.04
25,0,8.00272,122.196,120.143,-23.4163,199.696,1223.65
26,0,8.96588,121.57,119.716,-25.5089,200.338,1223.04
27,0,9.99555,120.944,119.263,-27.7037,200.836,1221.22
28,0,10.9882,120.37,118.765,-29.8692,201.192,1218.73
29,0,12.0715,119.822,118.218,-32.0704,201.297,1214.85
30,0,13.0746,119.236,117.733,-34.3026,201.481,1210.61
31,0,14.1365,118.782,117.096,-36.5087,201.178,1205.02
32,0,15.1971,118.291,116.531,-38.8325,201.02,1199.26
33,0,16.1889,117.902,115.874,-41.0436,200.516,1192.5
34,0,17.286,117.467,115.3,-43.4021,200.212,1185.68
35,0,18.1508,117.068,114.683,-45.2804,199.742,1179.03
36,0,19.0391,116.695,114.09,-47.1464,199.282,1172.28
37,0,19.8507,116.327,113.55,-48.8045,198.903,1165.99
38,0,20.5845,115.946,113.067,-50.1585,198.614,1160.33
39,0,21.2157,115.633,112.617,-51.3035,198.325,1155.52
40,0,21.8388,115.262,112.309,-52.1913,198.312,1151.86
41,0,22.3072,114.969,112.039,-52.8104,198.363,1149.29
42,0,22.7085,114.693,111.908,-53.3134,198.595,1148.11
43,0,23.0521,114.429,111.863,-53.5394,199.004,1148.21
44,0,23.3286,114.244,111.881,-53.618,199.468,1149.6
45,0,23.5931,114.058,112.013,-53.5104,200.129,1152.28
46,0,23.7642,113.931,112.204,-53.2028,200.906,1156.02
47,0,23.8864,113.859,112.454,-52.7519,201.747,1160.76
48,0,23.9704,113.849,112.752,-52.1766,202.647,1166.31
49,0,23.9866,113.895,113.11,-51.4768,203.548,1172.5
50,0,23.9552,114.021,113.502,-50.6871,204.436,1179.16
51,0,23.8382,114.226,113.934,-49.7711,205.246,1186.07
52,0,23.6527,114.521,114.416,-48.8375,205.995,1193.1
53,0,23.3778,114.913,114.943,-47.8762,206.637,1200.05
