Segments
100
,,Subject1:LowerBack,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
1,0,23.7413,122.426,114.651,27.3468,-842.867,1143.7
2,0,23.6722,122.327,114.419,29.0335,-843.242,1142.79
3,0,23.7433,122.335,114.28,29.8829,-843.589,1142.7
4,0,23.8294,122.337,114.13,30.9138,-843.929,1142.69
5,0,23.926,122.346,113.966,32.0688,-844.272,1142.73
6,0,24.0268,122.361,113.8,33.3021,-844.587,1142.86
7,0,24.1253,122.381,113.64,34.5672,-844.842,1143.1
8,0,24.2139,122.407,113.496,35.8302,-845.012,1143.51
9,0,24.2876,122.437,113.37,37.0697,-845.087,1144.11
10,0,24.3392,122.47,113.271,38.2732,-845.054,1144.93
11,0,24.3652,122.504,113.198,39.4381,-844.913,1145.98
12,0,24.3641,122.539,113.152,40.5656,-844.666,1147.26
13,0,24.3353,122.574,113.133,41.6584,-844.319,1148.75
14,0,24.2834,122.609,113.141,42.7126,-843.868,1150.41
15,0,24.2074,122.642,113.174,43.7436,-843.324,1152.19
16,0,24.1128,122.675,113.233,44.7365,-842.678,1154.04
17,0,24.0061,122.706,113.316,45.6907,-841.929,1155.91
18,0,23.7875,122.652,113.306,47.4544,-841.251,1157.3
19,0,23.6688,122.683,113.432,48.3188,-840.306,1158.91
20,0,23.4329,122.633,113.412,50.0898,-839.557,1159.62
21,0,23.3443,122.664,113.612,50.6177,-838.305,1161
22,0,23.2579,122.703,113.793,51.0711,-837.012,1161.91
23,0,23.1915,122.707,114.017,51.4538,-835.496,1162.73
24,0,23.155,122.727,114.243,51.5977,-833.891,1163.17
25,0,23.1441,122.738,114.479,51.578,-832.154,1163.34
26,0,23.1641,122.741,114.715,51.3923,-830.295,1163.23
27,0,23.2152,122.736,114.944,51.0483,-828.327,1162.87
28,0,23.2994,122.745,115.144,50.4641,-826.319,1162.14
29,0,23.4126,122.72,115.336,49.8496,-824.165,1161.38
30,0,23.5484,122.686,115.504,49.1284,-821.941,1160.5
31,0,23.7063,122.645,115.641,48.3158,-819.662,1159.53
32,0,23.8838,122.597,115.746,47.4317,-817.328,1158.51
33,0,24.0726,122.545,115.818,46.4958,-814.947,1157.49
34,0,24.2683,122.486,115.859,45.532,-812.513,1156.5
35,0,24.4657,122.423,115.867,44.5543,-810.041,1155.56
36,0,24.6594,122.356,115.845,43.5795,-807.526,1154.69
37,0,24.8516,122.28,115.797,42.6199,-804.951,1153.91
38,0,25.0268,122.203,115.728,41.6808,-802.328,1153.22
39,0,25.1995,122.116,115.636,40.7638,-799.637,1152.62
40,0,25.3904,122.033,115.575,39.6514,-796.765,1152.29
41,0,25.5544,121.937,115.449,38.6868,-793.897,1151.73
42,0,25.7097,121.853,115.317,37.6742,-791.023,1151.42
43,0,25.8547,121.729,115.168,36.7916,-787.964,1151.03
44,0,26.0049,121.622,115.016,35.7642,-784.865,1150.78
45,0,26.1543,121.487,114.847,34.7949,-781.611,1150.48
46,0,26.3175,121.372,114.678,33.6402,-778.288,1150.26
47,0,26.4852,121.23,114.492,32.5155,-774.813,1149.99
48,0,26.6753,121.101,114.308,31.1943,-771.239,1149.77
49,0,26.8715,120.971,114.103,29.8171,-767.589,1149.52
50,0,27.1042,120.839,113.901,28.2506,-763.775,1149.31
51,0,28.0936,119.767,113.462,28.4921,-758.241,1149.78
52,0,28.4375,119.54,113.105,27.0033,-754.566,1149.54
53,0,28.893,119.354,112.81,24.8885,-750.517,1149.36
54,0,29.2623,119.186,112.448,22.9514,-746.637,1149.19
55,0,29.7094,118.978,112.178,20.6253,-742.171,1149.07
56,0,30.083,118.793,111.839,18.421,-737.9,1148.93
57,0,30.5282,118.562,111.582,15.881,-733.087,1148.89
58,0,30.9381,118.34,111.266,13.3676,-728.422,1148.84
59,0,31.3996,118.064,111.008,10.6534,-723.297,1148.89
60,0,31.8722,117.77,110.729,7.85175,-718.133,1148.99
61,0,32.386,117.45,110.431,4.91104,-712.888,1149.1
62,0,32.908,117.08,110.18,1.91711,-707.296,1149.31
63,0,33.4757,116.679,109.918,-1.20474,-701.624,1149.6
64,0,34.0927,116.251,109.664,-4.4891,-695.848,1150.01
65,0,34.725,115.779,109.435,-7.78889,-689.841,1150.46
66,0,35.3811,115.29,109.218,-11.1632,-683.757,1151.01
67,0,36.0583,114.779,109.022,-14.5905,-677.571,1151.65
68,0,36.7466,114.257,108.843,-18.0365,-671.342,1152.41
69,0,37.4381,113.74,108.689,-21.5246,-665.114,1153.29
70,0,38.1201,113.233,108.551,-24.9863,-658.944,1154.3
71,0,38.7823,112.75,108.431,-28.4166,-652.897,1155.47
72,0,39.4121,112.304,108.324,-31.7862,-647.04,1156.81
73,0,40.0038,111.903,108.226,-35.0713,-641.436,1158.33
74,0,40.5358,111.562,108.138,-38.2446,-636.155,1160.03
75,0,41.007,111.287,108.055,-41.2873,-631.248,1161.91
76,0,41.4087,111.082,107.975,-44.1729,-626.76,1163.97
