Segments
100
,,Subject1:LowerBack,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
1,0,19.5669,125.227,108.233,38.5022,260.045,1122.7
2,0,19.8215,125.055,108.261,37.8463,260.193,1122.23
3,0,20.1563,124.871,108.315,36.9597,260.503,1122
4,0,20.5624,124.637,108.43,35.9611,260.955,1122.29
5,0,21.0013,124.411,108.627,34.8496,261.583,1123.22
6,0,21.4574,124.142,108.884,33.7926,262.369,1125.09
7,0,21.9836,123.828,109.259,32.729,263.518,1127.94
8,0,22.5277,123.483,109.731,31.776,264.963,1131.88
9,0,23.1694,123.156,110.374,30.4604,266.75,1137.24
10,0,23.7183,122.839,111.01,29.5944,268.55,1143.46
11,0,24.1976,122.52,111.698,28.942,270.453,1150.56
12,0,24.6472,122.267,112.389,28.4812,272.313,1158.43
13,0,24.9922,121.939,113.152,28.3797,274.316,1166.84
14,0,25.2292,121.753,113.846,28.543,275.963,1175.64
15,0,25.296,121.52,114.593,29.1838,277.578,1184.79
16,0,25.2131,121.44,115.258,30.036,278.697,1193.63
17,0,24.8923,121.359,115.905,31.6407,279.447,1202.87
18,0,24.3911,121.457,116.466,33.4154,279.625,1211.15
19,0,23.6921,121.565,117.076,35.5597,279.617,1219.53
20,0,22.7922,121.84,117.58,37.966,279.019,1226.51
21,0,21.7427,122.184,118.122,40.3701,278.195,1232.84
22,0,20.4623,122.584,118.593,43.359,276.944,1238.13
23,0,18.9885,123.048,119.072,46.3872,275.403,1241.94
24,0,17.4228,123.674,119.493,49.2567,273.527,1244.11
25,0,15.7989,124.243,119.98,51.9775,271.772,1244.54
26,0,14.143,124.937,120.389,54.4478,269.82,1243.12
27,0,12.4618,125.589,120.893,56.7222,268.084,1240.1
28,0,10.7665,126.192,121.409,58.7898,266.452,1235.33
29,0,9.07903,126.864,121.896,60.7575,264.904,1229.19
30,0,7.42648,127.409,122.436,62.578,263.626,1221.71
31,0,5.7896,127.991,122.947,64.3589,262.528,1213.36
32,0,4.1983,128.438,123.493,66.0563,261.751,1204.27
33,0,2.64453,128.879,123.985,67.7529,261.19,1194.96
34,0,1.15688,129.165,124.553,69.466,261.114,1185.91
35,0,-0.330188,129.392,125.033,71.168,261.249,1177.4
36,0,-1.70079,129.501,125.476,72.8981,261.673,1170
37,0,-3.00543,129.487,125.892,74.6569,262.331,1164.16
38,0,-4.20778,129.385,126.17,76.5046,263.143,1160.15
39,0,-5.22732,129.202,126.341,78.3315,263.932,1158.31
40,0,-6.12931,128.967,126.363,80.1148,264.603,1158.75
41,0,-6.8086,128.702,126.239,81.7881,265.025,1161.48
42,0,-7.30629,128.43,125.958,83.2415,265.164,1166.35
43,0,-7.5286,128.169,125.54,84.3828,264.948,1173.1
44,0,-7.46735,127.909,124.991,85.0965,264.407,1181.37
45,0,-7.15043,127.685,124.348,85.2767,263.636,1190.76
46,0,-6.51763,127.474,123.647,84.8207,262.66,1200.86
47,0,-5.57265,127.262,122.891,83.7649,261.56,1211.21
48,0,-4.33005,127.037,122.093,82.1594,260.386,1221.42
49,0,-2.83051,126.785,121.271,80.0872,259.191,1231.15
50,0,-1.10861,126.504,120.43,77.6241,257.988,1240.09
51,0,0.811739,126.184,119.583,74.8267,256.853,1247.97
52,0,2.86201,125.846,118.73,71.7913,255.72,1254.56
53,0,5.01561,125.478,117.891,68.5551,254.695,1259.64
54,0,7.16556,125.069,117.102,65.2784,253.857,1263.06
55,0,9.3394,124.72,116.289,61.814,252.92,1264.67
56,0,11.4845,124.321,115.561,58.2715,252.244,1264.41
57,0,13.674,124.028,114.839,54.3897,251.624,1262.33
58,0,15.6539,123.696,114.253,50.4584,251.336,1258.31
59,0,17.5429,123.386,113.733,46.5309,251.345,1252.51
60,0,19.2971,123.1,113.3,42.567,251.636,1245.13
61,0,20.8871,122.824,112.949,38.6965,252.204,1236.4
62,0,22.2909,122.564,112.673,35.0226,253,1226.66
63,0,23.4859,122.328,112.472,31.644,253.983,1216.31
64,0,24.4519,122.118,112.349,28.6517,255.122,1205.77
65,0,25.2005,121.946,112.306,26.0606,256.366,1195.52
66,0,25.7289,121.83,112.342,23.8753,257.654,1186.05
67,0,26.058,121.781,112.464,22.0601,258.964,1177.83
68,0,26.2016,121.825,112.669,20.5523,260.197,1171.26
69,0,26.2045,121.953,112.942,19.3198,261.353,1166.67
70,0,26.0917,122.205,113.272,18.1249,262.372,1164.27
71,0,25.7957,122.556,113.624,17.4755,262.963,1164.2
72,0,25.3826,123.025,113.974,16.9826,263.246,1166.37
73,0,24.8874,123.573,114.3,16.8336,263.106,1170.73
74,0,24.2689,124.22,114.569,16.9551,262.545,1176.99
75,0,23.6119,124.939,114.81,17.2209,261.643,1184.87
76,0,22.7489,125.654,114.977,18.3443,260.362,1193.95
77,0,21.7111,126.375,115.096,20.1242,258.771,1203.9
78,0,20.4571,127.091,115.192,22.6059,256.947,1214.29
79,0,18.9593,127.801,115.296,25.7594,254.959,1224.74
80,0,17.2034,128.512,115.436,29.4758,252.871,1234.85
81,0,15.1943,129.212,115.654,33.6238,250.833,1244.18
82,0,12.9748,129.909,115.968,37.9488,248.916,1252.34
83,0,10.5912,130.605,116.398,42.2183,247.191,1258.99
