Segments
100
,,Subject1:LowerBack,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
1,0,46.7855,109.01,98.1922,-208.628,254.824,1154.64
2,0,47.3659,108.779,98.1283,-208.418,254.869,1154.75
3,0,47.4002,108.666,97.9784,-207.829,255.104,1154.63
4,0,47.4431,108.517,97.7935,-207.067,255.409,1154.48
5,0,47.496,108.327,97.552,-206.152,255.785,1154.28
6,0,47.5645,108.105,97.2645,-205.138,256.229,1154.04
7,0,47.813,107.882,96.831,-204.332,256.643,1153.72
8,0,47.8462,107.622,96.4987,-203.174,257.217,1153.44
9,0,48.0599,107.313,96.0826,-202.244,257.945,1153.03
10,0,48.1392,107.016,95.7185,-201.142,258.747,1152.55
11,0,48.2458,106.758,95.2755,-200.059,259.345,1152.17
12,0,48.5058,106.458,94.7818,-199.181,260.093,1151.61
13,0,48.7529,106.209,94.2443,-198.158,260.667,1151.02
14,0,48.8613,105.993,93.8096,-197.163,261.206,1150.67
15,0,49.0897,105.737,93.3372,-196.144,261.794,1150.09
16,0,49.1762,105.519,92.9542,-194.869,262.386,1149.58
17,0,49.3573,105.398,92.5233,-193.943,262.735,1149.31
18,0,49.582,105.288,92.1084,-192.997,263.078,1149.01
19,0,49.8094,105.212,91.7133,-191.983,263.343,1148.72
20,0,50.0417,105.17,91.3447,-190.905,263.548,1148.48
21,0,50.2816,105.163,91.0028,-189.766,263.693,1148.29
22,0,50.534,105.19,90.6862,-188.568,263.783,1148.16
23,0,50.7669,105.156,90.3866,-186.554,263.983,1147.77
24,0,51.0469,105.278,90.122,-185.479,263.914,1147.88
25,0,51.3532,105.42,89.8595,-184.246,263.751,1147.97
26,0,51.6683,105.595,89.6032,-182.909,263.5,1148.09
27,0,51.9915,105.795,89.3543,-181.475,263.155,1148.24
28,0,52.3198,106.023,89.1091,-179.939,262.695,1148.42
29,0,52.4879,106.177,89.0165,-177.603,262.502,1148.49
30,0,52.8889,106.477,88.7275,-176.132,261.722,1148.73
31,0,53.2119,106.748,88.4671,-174.107,260.836,1148.94
32,0,53.6887,107.088,88.1117,-172.201,259.762,1149.06
33,0,53.9965,107.391,87.8799,-170.069,258.603,1149.25
34,0,54.3228,107.731,87.632,-167.791,257.315,1149.33
35,0,54.5692,108.079,87.462,-165.233,256.014,1149.3
36,0,54.9345,108.449,87.1538,-162.755,254.319,1149.26
37,0,55.2733,108.834,86.8816,-160.08,252.532,1149.09
38,0,55.6841,109.239,86.5567,-157.303,250.583,1148.82
39,0,55.9793,109.629,86.336,-154.324,248.551,1148.49
40,0,56.2315,110.018,86.1767,-151.108,246.529,1148.03
41,0,56.6065,110.472,85.9405,-148.183,244.278,1147.55
42,0,56.9403,110.911,85.7115,-144.938,241.857,1146.99
43,0,57.2813,111.348,85.4915,-141.57,239.362,1146.38
44,0,57.6372,111.784,85.274,-138.12,236.789,1145.74
45,0,58.009,112.22,85.0578,-134.605,234.149,1145.08
46,0,58.4031,112.654,84.836,-131.048,231.445,1144.4
47,0,58.8219,113.085,84.6045,-127.465,228.692,1143.72
48,0,59.3671,113.453,84.2903,-123.628,226.081,1142.82
49,0,59.8294,113.885,84.0607,-120.186,223.29,1142.27
50,0,60.33,114.297,83.7715,-116.653,220.4,1141.68
51,0,60.8782,114.691,83.4483,-113.156,217.549,1141.12
52,0,61.4697,115.059,83.0939,-109.701,214.746,1140.59
53,0,62.1028,115.399,82.7058,-106.294,211.999,1140.1
54,0,62.7758,115.707,82.2821,-102.939,209.316,1139.65
55,0,63.3169,115.814,82.0293,-98.7199,207.301,1138.71
56,0,64.1078,116.091,81.5073,-95.7505,204.714,1138.52
57,0,64.9008,116.317,80.9375,-92.7118,202.127,1138.3
58,0,65.7213,116.498,80.3357,-89.7126,199.657,1138.08
59,0,66.5642,116.634,79.7063,-86.7603,197.303,1137.87
60,0,67.4251,116.726,79.0516,-83.8621,195.059,1137.66
61,0,68.3001,116.778,78.3743,-81.0265,192.924,1137.46
62,0,69.1853,116.793,77.6779,-78.2615,190.894,1137.26
63,0,70.0764,116.774,76.9663,-75.5726,188.966,1137.06
