Joints
100
,,Subject1:World_Root,,,,,,Subject1:World_Root,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX',RY',RZ',TX',TY',TZ'
,,deg,deg,deg,mm,mm,mm,deg/s,deg/s,deg/s,mm/s,mm/s,mm/s
1,0,3.81074,-3.71052,-0.823626,92.8348,984.273,-80.2077,,,,,,
2,0,3.73521,-3.78647,-0.822327,94.1414,984.309,-81.1035,-7.55295,-7.59526,0.12988,130.663,3.60608,-89.5761
3,0,3.72149,-3.92851,-0.956673,94.8331,984.342,-82.6991,-1.37137,-14.2036,-13.4346,69.1712,3.23057,-159.56
4,0,3.62892,-4.11365,-1.07736,96.0895,984.443,-84.5069,-9.25721,-18.5147,-12.0691,125.638,10.1566,-180.779
5,0,3.53017,-4.27505,-1.23601,97.5599,984.589,-86.6397,-9.87496,-16.1397,-15.8649,147.039,14.6091,-213.276
6,0,3.36774,-4.41908,-1.42544,99.1855,984.805,-89.0117,-16.2428,-14.4025,-18.9429,162.564,21.553,-237.208
7,0,3.16854,-4.53935,-1.63872,100.92,985.077,-91.5036,-19.9207,-12.0275,-21.3274,173.482,27.2214,-249.187
8,0,2.93887,-4.61374,-1.87717,102.711,985.417,-94.1284,-22.967,-7.43872,-23.8457,179.087,33.9866,-262.477
9,0,2.70407,-4.66245,-2.09208,104.614,985.784,-96.849,-23.4793,-4.87091,-21.4912,190.253,36.6986,-272.063
10,0,2.44306,-4.67565,-2.307,106.496,986.197,-99.5924,-26.1012,-1.31981,-21.4915,188.273,41.3477,-274.339
11,0,2.19706,-4.6647,-2.48791,108.355,986.601,-102.364,-24.6002,1.09467,-18.0912,185.864,40.3166,-277.115
12,0,1.95194,-4.63318,-2.67331,110.102,987.043,-105.104,-24.5116,3.15175,-18.5402,174.69,44.2207,-274.011
13,0,1.72298,-4.59474,-2.84208,111.755,987.498,-107.804,-22.8967,3.84424,-16.8772,165.306,45.4962,-270.029
14,0,1.50199,-4.56293,-2.98793,113.196,987.901,-110.486,-22.099,3.18137,-14.5848,144.117,40.3345,-268.202
