Joints
100
,,Subject1:World_Root,,,,,,Subject1:World_Root,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX',RY',RZ',TX',TY',TZ'
,,deg,deg,deg,mm,mm,mm,deg/s,deg/s,deg/s,mm/s,mm/s,mm/s
1,,,,,,,,,,,,,
2,,,,,,,,,,,,,
3,,,,,,,,,,,,,
4,,,,,,,,,,,,,
5,,,,,,,,,,,,,
6,,,,,,,,,,,,,
7,,,,,,,,,,,,,
8,,,,,,,,,,,,,
9,,,,,,,,,,,,,
10,,,,,,,,,,,,,
11,,,,,,,,,,,,,
12,,,,,,,,,,,,,
13,,,,,,,,,,,,,
14,,,,,,,,,,,,,
15,,,,,,,,,,,,,
16,,,,,,,,,,,,,
17,,,,,,,,,,,,,
18,,,,,,,,,,,,,
19,,,,,,,,,,,,,
20,,,,,,,,,,,,,
21,,,,,,,,,,,,,
22,,,,,,,,,,,,,
23,0,8.11144,-3.50804,-0.659512,81.217,984.222,-469.354,,,,,,
24,0,8.15441,-3.4618,-0.608486,79.9159,984.448,-468.844,4.29687,4.62391,5.10267,-130.11,22.6378,50.9858
25,0,8.26179,-3.44099,-0.556376,78.6518,984.58,-468.578,10.738,2.08156,5.21094,-126.41,13.1249,26.5419
26,0,8.46249,-3.44318,-0.484693,77.4921,984.619,-468.539,20.07,-0.219676,7.16836,-115.968,3.96371,3.91304
27,0,8.55289,-3.45423,-0.4052,76.3314,984.58,-468.568,9.04086,-1.10414,7.94922,-116.072,-3.91603,-2.82526
28,0,8.68557,-3.48016,-0.311468,75.3015,984.429,-468.822,13.2674,-2.59306,9.37327,-102.995,-15.1098,-25.4244
29,0,8.93049,-3.52343,-0.191254,74.4316,984.159,-469.471,24.4925,-4.32705,12.0213,-86.9885,-27.0486,-64.9184
30,0,8.87428,-3.57269,-0.117247,73.531,983.719,-469.729,-5.62176,-4.9264,7.40074,-90.0559,-43.9167,-25.8476
31,0,8.87657,-3.60803,-0.0278514,72.7823,983.19,-470.282,0.229324,-3.53411,8.93955,-74.8731,-52.923,-55.2356
32,0,8.92609,-3.64264,0.0681684,72.1716,982.476,-471.12,4.95214,-3.46086,9.60198,-61.0724,-71.4421,-83.8131
33,0,9.01456,-3.67708,0.167386,71.7143,981.578,-472.224,8.84723,-3.44387,9.9218,-45.7309,-89.7825,-110.441
34,0,9.13873,-3.71045,0.267017,71.4183,980.468,-473.588,12.4164,-3.33761,9.96302,-29.5959,-110.954,-136.384
35,0,10.5087,-3.79868,0.537767,71.6612,978.895,-477.246,136.998,-8.82251,27.0751,24.2911,-157.338,-365.776
36,0,10.3817,-3.82876,0.584463,71.5453,977.371,-478.489,-12.7053,-3.00767,4.66958,-11.5886,-152.385,-124.311
37,0,10.3521,-3.8474,0.645125,71.696,975.548,-480.146,-2.95628,-1.86468,6.06621,15.0636,-182.265,-165.695
38,0,10.4094,-3.86334,0.716846,72.0611,973.392,-482.132,5.73138,-1.59387,7.17209,36.5116,-215.644,-198.588
39,0,10.5321,-3.88115,0.796962,72.6159,970.901,-484.383,12.2688,-1.78029,8.01165,55.4822,-249.07,-225.106
40,0,10.7041,-3.90368,0.884288,73.3509,968.048,-486.862,17.2017,-2.25302,8.73254,73.4948,-285.327,-247.863
41,0,12.3424,-4.01128,1.28456,74.8997,964.294,-492.18,163.824,-10.76,40.0269,154.883,-375.36,-531.861
42,0,12.191,-4.03192,1.29538,75.6479,960.872,-494.173,-15.14,-2.06489,1.08242,74.8195,-342.256,-199.321
43,0,12.148,-4.0526,1.33577,76.713,956.895,-496.62,-4.29158,-2.06784,4.03838,106.512,-397.712,-244.704
44,0,12.2036,-4.08257,1.40379,77.9628,952.408,-499.382,5.56088,-2.99704,6.80227,124.98,-448.632,-276.193
45,0,12.3333,-4.12152,1.49215,79.3453,947.443,-502.371,12.965,-3.89479,8.83639,138.25,-496.572,-298.873
46,0,13.4485,-4.20204,1.86962,81.4094,941.457,-507.204,111.522,-8.05237,37.7469,206.405,-598.592,-483.31
47,0,14.3367,-4.29306,2.15385,83.2155,935.315,-511.498,88.8154,-9.10157,28.4229,180.61,-614.202,-429.344
48,0,14.7979,-4.3519,2.3201,84.9242,928.796,-515.2,46.1268,-5.88404,16.6254,170.878,-651.884,-370.258
49,0,15.2262,-4.41209,2.47158,86.6438,921.835,-518.97,42.8292,-6.01915,15.1477,171.954,-696.099,-377.011
50,0,15.7558,-4.46914,2.62915,88.3902,914.379,-522.786,52.9591,-5.7044,15.7565,174.642,-745.571,-381.529
51,0,16.2452,-4.52482,2.75691,90.086,906.553,-526.623,48.9412,-5.56848,12.7768,169.583,-782.615,-383.699
52,0,16.8587,-4.58079,2.91589,91.8628,898.271,-530.797,61.3476,-5.59674,15.8982,177.68,-828.248,-417.471
53,0,17.404,-4.62046,2.971,93.3515,889.784,-534.338,54.5281,-3.96714,5.51051,148.871,-848.645,-354.052
54,0,18.0196,-4.65829,3.04098,94.8888,880.954,-538.269,61.5603,-3.78311,6.99776,153.727,-883.037,-393.093
55,0,18.5613,-4.69031,2.99874,96.124,872.009,-541.558,54.1684,-3.20174,-4.22426,123.516,-894.451,-328.898
56,0,19.1211,-4.71511,2.91402,97.2332,862.919,-544.845,55.9785,-2.48026,-8.47129,110.923,-908.989,-328.743
57,0,19.5967,-4.73617,2.73965,98.107,853.857,-547.802,47.5593,-2.10541,-17.4376,87.3856,-906.253,-295.699
58,0,20.0227,-4.7296,2.46688,98.742,844.887,-550.528,42.6036,0.656509,-27.2768,63.4901,-896.972,-272.596
59,0,20.3425,-4.74426,2.07809,99.0426,836.098,-552.649,31.9801,-1.46631,-38.8785,30.0676,-878.954,-212.079
60,0,20.5914,-4.80055,1.58964,99.0276,827.54,-554.225,24.8909,-5.62914,-48.8451,-1.50055,-855.78,-157.619
61,0,20.7169,-4.8272,0.976109,98.703,819.389,-555.359,12.5486,-2.66484,-61.3533,-32.4622,-815.076,-113.386
62,0,20.733,-4.85357,0.258674,98.071,811.694,-555.921,1.60783,-2.63624,-71.7434,-63.1981,-769.496,-56.1953
63,0,20.6368,-4.89103,-0.568389,97.1017,804.532,-555.887,-9.62118,-3.74627,-82.7064,-96.935,-716.245,3.40939
64,0,20.4952,-4.93482,-1.39743,95.9639,797.938,-555.318,-14.1547,-4.3796,-82.9046,-113.78,-659.4,56.9224
65,0,20.2625,-4.97828,-2.25119,94.6327,792.006,-554.128,-23.2722,-4.34541,-85.3757,-133.117,-593.174,118.941
66,0,20.0125,-5.02887,-3.09163,93.1618,786.753,-552.405,-24.9954,-5.05895,-84.0441,-147.09,-525.254,172.287
67,0,19.7674,-5.08729,-3.85471,91.6585,782.218,-550.17,-24.5089,-5.84267,-76.3078,-150.331,-453.55,223.565
68,0,19.5321,-5.11635,-4.54553,90.1261,778.466,-547.433,-23.5314,-2.90561,-69.0819,-153.239,-375.146,273.645
69,0,19.4035,-5.21915,-4.99845,88.8133,775.459,-544.299,-12.8641,-10.2801,-45.2918,-131.274,-300.741,313.467
70,0,19.3646,-5.33587,-5.25936,87.6734,773.286,-540.758,-3.88928,-11.6717,-26.0912,-113.995,-217.247,354.064
71,0,19.4532,-5.48638,-5.30758,86.7342,772.027,-536.839,8.85961,-15.0511,-4.82267,-93.9205,-125.962,391.906
72,0,19.659,-5.65839,-5.10834,86.0684,771.761,-532.521,20.5818,-17.201,19.9245,-66.5784,-26.6016,431.812
73,0,20.0087,-5.8657,-4.69154,85.6142,772.604,-527.817,34.9719,-20.731,41.68,-45.4202,84.3525,470.37
74,0,20.3819,-6.05658,-4.12772,85.3213,774.771,-522.49,37.315,-19.0876,56.3824,-29.2957,216.675,532.657
75,0,20.8965,-6.28292,-3.32708,85.241,778.285,-516.743,51.4655,-22.6348,80.0631,-8.02577,351.381,574.768
76,0,21.4668,-6.51723,-2.37502,85.2769,783.341,-510.398,57.027,-23.4301,95.2062,3.59416,505.608,634.503
77,0,22.04,-6.75308,-1.29537,85.3902,790.073,-503.362,57.3178,-23.5858,107.965,11.3264,673.205,703.585
78,0,22.591,-6.98091,-0.179967,85.4309,798.593,-495.587,55.0967,-22.7829,111.54,4.071,852.025,777.459
79,0,23.0594,-7.19112,0.930425,85.341,808.971,-486.997,46.8416,-21.0205,111.039,-8.99062,1037.76,859.076
80,0,23.3909,-7.39302,1.99669,85.0435,821.227,-477.539,33.1556,-20.1897,106.627,-29.7457,1225.57,945.756
81,0,23.5436,-7.56944,2.95864,84.4608,835.33,-467.197,15.2665,-17.6423,96.1947,-58.2725,1410.33,1034.17
82,0,23.4775,-7.71979,3.78108,83.5355,851.194,-455.981,-6.60718,-15.0352,82.2444,-92.5332,1586.44,1121.6
83,0,23.187,-7.83384,4.43882,82.2362,868.686,-443.97,-29.0563,-11.4046,65.7737,-129.928,1749.17,1201.11
84,0,22.6118,-7.91027,4.89995,80.5292,887.627,-431.21,-57.5189,-7.64366,46.1129,-170.7,1894.09,1276.05
85,0,21.7841,-7.91973,5.1848,78.454,907.783,-417.859,-82.7701,-0.945298,28.4853,-207.525,2015.57,1335.04
86,0,20.7461,-7.85799,5.30731,76.0831,928.95,-404.176,-103.794,6.17321,12.2503,-237.086,2116.69,1368.36
87,0,19.549,-7.70307,5.27763,73.4707,950.879,-390.431,-119.707,15.4927,-2.96729,-261.239,2192.94,1374.5
88,0,18.2691,-7.45322,5.1711,70.811,973.369,-376.95,-127.998,24.985,-10.653,-265.971,2249.03,1348.04
89,0,16.9437,-7.10579,5.00823,68.2352,996.283,-364.008,-132.539,34.7432,-16.2878,-257.578,2291.39,1294.27
90,0,15.7209,-6.67214,4.87507,65.9221,1019.44,-352.011,-122.278,43.3648,-13.3158,-231.315,2315.4,1199.64
91,0,14.4071,-6.12173,4.74086,63.9639,1042.94,-340.584,-131.382,55.041,-13.4205,-195.814,2350.32,1142.7
92,0,13.5066,-5.5562,4.71599,62.4598,1066.1,-331.06,-90.0427,56.5527,-2.48751,-150.413,2315.75,952.411
93,0,12.7817,-4.98813,4.71067,61.3815,1088.85,-323.004,-72.4902,56.8067,-0.532285,-107.83,2274.74,805.584
94,0,12.0677,-4.3615,4.74148,60.7583,1111.1,-315.821,-71.4018,62.6635,3.08165,-62.3219,2225.32,718.343
95,0,11.495,-3.74951,4.67403,60.3849,1132.56,-309.907,-57.2727,61.1989,-6.74537,-37.3382,2146.29,591.382
96,0,11.0312,-3.20141,4.49776,60.1958,1152.86,-305.2,-46.3763,54.81,-17.6273,-18.9062,2029.87,470.68
97,0,10.6932,-2.72027,4.3079,60.2395,1171.61,-301.445,-33.8064,48.1142,-18.9852,4.36939,1874.91,375.521
98,0,10.4823,-2.36218,4.08934,60.4137,1188.76,-298.566,-21.0919,35.8092,-21.8568,17.4209,1714.98,287.929
99,0,10.2896,-2.11949,3.80526,60.6082,1204.35,-296.095,-19.2653,24.2681,-28.4077,19.4468,1559.08,247.106
100,0,10.1952,-2.00924,3.55787,60.8961,1218.41,-294.114,-9.44436,11.0255,-24.7392,28.7857,1405.55,198.054
101,0,10.1969,-2.01315,3.35223,61.2472,1231.09,-292.324,0.171694,-0.391135,-20.5634,35.1101,1268.78,178.984
102,0,10.1274,-2.13251,3.21709,61.6029,1242.32,-290.921,-6.94417,-11.9361,-13.5145,35.5687,1122.51,140.336
