Joints
100
,,Subject1:World_Root,,,,,,Subject1:World_Root,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX',RY',RZ',TX',TY',TZ'
,,deg,deg,deg,mm,mm,mm,deg/s,deg/s,deg/s,mm/s,mm/s,mm/s
1,0,4.45277,1.02422,-2.38944,32.7298,977.362,-163.105,,,,,,
2,0,4.35152,1.12229,-2.376,32.7602,977.488,-162.74,-10.1248,9.80709,1.34339,3.03909,12.6123,36.5421
3,0,4.29121,1.23711,-2.35964,32.7703,977.632,-162.403,-6.03127,11.482,1.63607,1.00695,14.4601,33.6394
4,0,4.26199,1.38048,-2.34324,32.7925,977.803,-162.087,-2.92195,14.3366,1.63999,2.21916,17.035,31.6441
5,0,4.25567,1.55506,-2.32829,32.8344,977.993,-161.792,-0.631878,17.4582,1.49521,4.19877,19.0377,29.5088
6,0,4.26441,1.7614,-2.31645,32.907,978.192,-161.527,0.873453,20.6343,1.18433,7.25612,19.9199,26.5017
7,0,4.28087,1.99843,-2.30984,33.0215,978.387,-161.304,1.64642,23.7029,0.660906,11.4452,19.4907,22.2147
8,0,4.29803,2.26408,-2.31198,33.1852,978.564,-161.14,1.7163,26.5644,-0.214596,16.3756,17.6609,16.433
9,0,4.31014,2.55534,-2.32359,33.4109,978.712,-161.048,1.21099,29.1268,-1.16068,22.573,14.8416,9.2417
10,0,4.31157,2.86817,-2.34636,33.7126,978.82,-161.044,0.142196,31.2825,-2.2774,30.1614,10.7944,0.330806
11,0,4.3223,3.21674,-2.37374,34.2363,978.878,-161.263,1.07332,34.8569,-2.73771,52.3694,5.73993,-21.8421
12,0,4.30346,3.55162,-2.41127,34.8132,978.873,-161.541,-1.88411,33.4882,-3.75276,57.6962,-0.506639,-27.8085
13,0,4.28653,3.88788,-2.44097,35.5505,978.787,-162.008,-1.69273,33.6266,-2.97024,73.7261,-8.57115,-46.7256
14,0,4.31448,4.21927,-2.43573,36.5221,978.6,-162.78,2.79487,33.1382,0.52458,97.1653,-18.6861,-77.1716
15,0,4.25919,4.53419,-2.44888,37.5363,978.351,-163.613,-5.52874,31.4928,-1.31586,101.418,-24.8969,-83.3422
16,0,4.32128,4.81831,-2.40472,38.7835,977.933,-164.896,6.20868,28.4111,4.41696,124.719,-41.8127,-128.295
17,0,4.27081,5.0922,-2.37207,39.9926,977.515,-166.168,-5.04717,27.3893,3.26483,120.913,-41.7769,-127.204
18,0,4.27326,5.32756,-2.29828,41.2743,976.95,-167.756,0.245076,23.5364,7.37838,128.167,-56.4933,-158.797
19,0,4.4133,5.52725,-2.16075,42.6202,976.24,-169.785,14.0041,19.9683,13.7531,134.588,-71.0249,-202.85
20,0,4.39365,5.7068,-2.07082,43.7784,975.523,-171.692,-1.9647,17.9558,8.99361,115.827,-71.6567,-190.696
21,0,4.60581,5.84857,-1.89665,44.9915,974.643,-174.162,21.2158,14.1761,17.4168,121.302,-88.0003,-247.02
22,0,4.71472,5.97359,-1.7599,45.998,973.783,-176.549,10.8915,12.502,13.6747,100.648,-86.0453,-238.714
23,0,4.73052,6.08643,-1.65723,46.7795,972.962,-178.95,1.57991,11.2842,10.267,78.1514,-82.1054,-240.138
24,0,5.03786,6.17191,-1.50941,47.5199,972.027,-181.883,30.7339,8.54837,14.7822,74.0469,-93.466,-293.255
25,0,5.25417,6.25309,-1.43076,48.0004,971.201,-184.737,21.6304,8.11755,7.86476,48.0477,-82.6061,-285.408
26,0,5.36834,6.33676,-1.40623,48.2253,970.506,-187.513,11.4175,8.36711,2.45262,22.4929,-69.5467,-277.576
27,0,5.82967,6.41094,-1.39668,48.3379,969.763,-190.823,46.1333,7.41818,0.955138,11.2545,-74.2197,-331.046
28,0,6.21248,6.48856,-1.4641,48.1888,969.184,-194.014,38.2805,7.76191,-6.74136,-14.9094,-57.9178,-319.102
29,0,6.48716,6.58366,-1.57586,47.8427,968.783,-197.024,27.4681,9.50993,-11.1762,-34.605,-40.102,-300.971
30,0,7.18149,6.68182,-1.76408,47.2998,968.347,-200.594,69.4334,9.81562,-18.8224,-54.2928,-43.6127,-356.974
31,0,7.83734,6.76782,-1.98964,46.5175,967.955,-203.979,65.5846,8.60079,-22.556,-78.227,-39.1901,-338.508
32,0,8.33732,6.9289,-2.23257,45.7403,967.884,-206.996,49.9984,16.1081,-24.2929,-77.7289,-7.11679,-301.696
33,0,9.23699,7.06992,-2.56843,44.5357,967.649,-210.618,89.9664,14.102,-33.5856,-120.455,-23.4842,-362.268
34,0,10.1294,7.26541,-2.89365,43.4199,967.507,-213.719,89.2448,19.5482,-32.5217,-111.58,-14.2336,-310.026
35,0,11.1089,7.45165,-3.24005,41.9942,967.252,-216.883,97.9438,18.6246,-34.6407,-142.568,-25.5227,-316.384
36,0,11.929,7.69508,-3.5171,40.6753,967.022,-219.364,82.0108,24.3427,-27.7051,-131.894,-22.9955,-248.18
37,0,13.3719,7.92938,-3.91317,39.0035,966.452,-222.607,144.292,23.4296,-39.607,-167.174,-56.9999,-324.231
38,0,14.6293,8.20007,-4.23321,37.2864,965.793,-225.221,125.741,27.0697,-32.004,-171.716,-65.887,-261.466
39,0,15.9605,8.50099,-4.53412,35.4574,964.928,-227.618,133.117,30.0913,-30.0907,-182.897,-86.4923,-239.651
40,0,17.3667,8.818,-4.81783,33.519,963.804,-229.801,140.621,31.7015,-28.3706,-193.841,-112.42,-218.332
41,0,18.8442,9.15414,-5.08041,31.4897,962.405,-231.776,147.748,33.6138,-26.2583,-202.929,-139.856,-197.519
42,0,20.383,9.508,-5.32394,29.382,960.716,-233.537,153.883,35.3863,-24.3528,-210.773,-168.89,-176.074
43,0,21.9772,9.87186,-5.5475,27.2142,958.725,-235.097,159.415,36.3858,-22.3564,-216.781,-199.115,-155.994
44,0,23.6199,10.2332,-5.74772,25.0012,956.424,-236.474,164.275,36.1387,-20.0223,-221.3,-230.098,-137.703
45,0,25.2878,10.5919,-5.92201,22.7698,953.84,-237.635,166.786,35.861,-17.429,-223.139,-258.458,-116.052
46,0,26.9863,10.9253,-6.06948,20.4947,950.933,-238.673,169.856,33.3435,-14.7466,-227.509,-290.608,-103.837
47,0,28.3096,11.304,-6.17222,18.4042,947.832,-238.842,132.331,37.8723,-10.2736,-209.052,-310.117,-16.9143
48,0,30.516,11.5767,-6.27648,16.3424,944.228,-240.448,220.637,27.2728,-10.426,-206.172,-360.388,-160.593
49,0,32.304,11.8511,-6.33222,14.3426,940.478,-241.139,178.803,27.4399,-5.5745,-199.982,-375.05,-69.0937
50,0,34.0867,12.0929,-6.33918,12.4687,936.504,-241.684,178.267,24.1769,-0.695868,-187.393,-397.426,-54.5219
51,0,35.8609,12.306,-6.35897,10.6541,932.339,-242.045,177.424,21.3047,-1.97918,-181.461,-416.476,-36.0414
