Joints
100
,,Subject1:World_Root,,,,,,Subject1:World_Root,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX',RY',RZ',TX',TY',TZ'
,,deg,deg,deg,mm,mm,mm,deg/s,deg/s,deg/s,mm/s,mm/s,mm/s
1,0,1.38798,-20.9906,-0.180397,-7.53373,987.785,-80.1284,,,,,,
2,0,1.64631,-21.6417,-0.0777466,-7.01273,988.79,-80.6968,25.8336,-65.11,10.265,52.0999,100.529,-56.8464
3,0,1.32919,-22.1671,-0.0991007,-5.74896,990.262,-81.4653,-31.7124,-52.5441,-2.13541,126.377,147.17,-76.846
4,0,1.54543,-22.7589,0.0325957,-3.40164,991.653,-82.2824,21.6241,-59.1793,13.1696,234.732,139.147,-81.7053
5,0,1.67162,-23.4596,0.100382,-0.793683,993.386,-83.1603,12.6191,-70.0735,6.77861,260.796,173.223,-87.7932
6,0,1.8336,-24.2328,0.193416,2.17704,995.427,-84.2324,16.1974,-77.3118,9.3034,297.073,204.158,-107.21
7,0,1.97882,-25.0464,0.251837,5.32269,997.725,-85.4693,14.5229,-81.3672,5.8421,314.565,229.752,-123.689
8,0,2.11895,-25.8675,0.306773,8.60654,1000.24,-86.8534,14.0125,-82.1042,5.49366,328.385,251.132,-138.409
9,0,2.2805,-26.6702,0.359424,11.9002,1002.89,-88.4121,16.1554,-80.2733,5.2651,329.371,265.515,-155.878
10,0,2.38194,-27.3987,0.39271,15.2402,1005.61,-89.9949,10.1434,-72.8464,3.32851,333.998,272.226,-158.273
11,0,2.46556,-28.0349,0.433942,18.5612,1008.31,-91.6286,8.36248,-63.6224,4.12322,332.094,269.914,-163.372
12,0,2.5279,-28.5592,0.491321,21.8376,1010.9,-93.292,6.23396,-52.4328,5.7379,327.647,258.863,-166.344
13,0,2.56581,-28.9581,0.568721,25.0367,1013.29,-94.9498,3.7912,-39.8873,7.74002,319.909,239.289,-165.779
14,0,2.58548,-29.2267,0.670354,28.132,1015.41,-96.5965,1.96699,-26.8601,10.1633,309.532,211.99,-164.671
15,0,2.59465,-29.3719,0.796728,31.1016,1017.19,-98.2334,0.916334,-14.521,12.6374,296.955,177.705,-163.689
16,0,2.59019,-29.3961,0.93978,33.9335,1018.57,-99.8467,-0.446267,-2.4155,14.3051,283.191,137.413,-161.33
17,0,2.57264,-29.3315,1.0928,36.6082,1019.49,-101.443,-1.75457,6.45521,15.3024,267.473,92.0296,-159.618
