Joints
100
,,Subject1:World_Root,,,,,,Subject1:World_Root,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX',RY',RZ',TX',TY',TZ'
,,deg,deg,deg,mm,mm,mm,deg/s,deg/s,deg/s,mm/s,mm/s,mm/s
1,0,-3.78524,-21.1302,-3.06568,-37.3651,970.476,-835.784,,,,,,
2,0,-3.70694,-21.2692,-2.44659,-37.5449,969.575,-835.433,7.82957,-13.9006,61.9087,-17.9753,-90.0745,35.1131
3,0,-3.73983,-21.3056,-2.38637,-37.9456,969.688,-835.431,-3.28805,-3.63793,6.02162,-40.0722,11.301,0.190735
4,0,-3.801,-21.3653,-2.32068,-38.449,969.895,-835.362,-6.11729,-5.97146,6.56906,-50.3451,20.6232,6.90818
5,0,-3.86238,-21.4352,-2.24456,-39.0675,970.183,-835.281,-6.13778,-6.98984,7.61218,-61.8476,28.8665,8.02279
6,0,-3.92991,-21.5158,-2.16716,-39.7815,970.565,-835.179,-6.75318,-8.06082,7.74006,-71.4015,38.1768,10.246
7,0,-3.99544,-21.6043,-2.08763,-40.5798,971.054,-835.048,-6.55344,-8.84919,7.95344,-79.8278,48.9295,13.1011
8,0,-4.05643,-21.7011,-2.00589,-41.435,971.664,-834.879,-6.0988,-9.68282,8.1733,-85.5178,60.9577,16.8562
9,0,-4.11124,-21.805,-1.91947,-42.3072,972.405,-834.661,-5.4811,-10.3865,8.64226,-87.2187,74.1243,21.7974
10,0,-4.15596,-21.9164,-1.82152,-43.166,973.289,-834.382,-4.4719,-11.1414,9.79479,-85.8791,88.4175,27.9367
11,0,-4.18832,-22.0356,-1.70527,-43.9783,974.322,-834.03,-3.23649,-11.9192,11.6248,-81.23,103.289,35.1787
12,0,-4.20577,-22.1633,-1.56372,-44.7147,975.502,-833.598,-1.74464,-12.7733,14.1554,-73.6471,118.023,43.1955
13,0,-4.20843,-22.3007,-1.39809,-45.3607,976.819,-833.085,-0.265438,-13.7384,16.5628,-64.5947,131.685,51.3017
14,0,-4.18718,-22.4457,-1.18836,-45.8771,978.253,-832.483,2.12479,-14.5031,20.9731,-51.6418,143.421,60.2126
15,0,-4.14896,-22.6043,-0.950899,-46.2829,979.782,-831.799,3.82166,-15.8573,23.7462,-40.5785,152.838,68.3904
16,0,-4.09027,-22.7706,-0.683011,-46.5637,981.364,-831.031,5.86961,-16.6254,26.7888,-28.0783,158.215,76.7708
17,0,-4.01149,-22.9489,-0.391596,-46.7326,982.962,-830.184,7.87773,-17.8367,29.1415,-16.8931,159.77,84.7399
18,0,-3.97274,-23.0829,0.12139,-47.071,984.15,-829.019,3.87515,-13.3984,51.2985,-33.8379,118.804,116.521
19,0,-3.77081,-23.3395,0.472193,-46.9628,985.558,-828.259,20.193,-25.6615,35.0803,10.816,140.858,76.0138
20,0,-3.52269,-23.6348,1.308,-46.4254,986.188,-827.249,24.8112,-29.5305,83.5806,53.7369,63.0081,100.94
21,0,-3.41301,-23.8085,1.55084,-46.2686,987.483,-826.027,10.9687,-17.3647,24.2845,15.685,129.509,122.219
22,0,-3.2124,-24.041,1.89814,-45.8622,988.439,-824.874,20.0605,-23.2539,34.7293,40.6358,95.5641,115.287
23,0,-3.05796,-24.25,2.12194,-45.552,989.227,-823.612,15.4439,-20.8985,22.3802,31.0242,78.7616,126.183
24,0,-2.8677,-24.4526,2.33015,-45.1661,989.749,-822.327,19.0264,-20.2594,20.8211,38.5877,52.2256,128.573
25,0,-2.69107,-24.6377,2.45439,-44.8289,990.029,-820.992,17.663,-18.5057,12.4236,33.7228,27.9605,133.443
26,0,-2.50721,-24.8013,2.51235,-44.5167,990.054,-819.635,18.3856,-16.3605,5.79614,31.2209,2.52128,135.779
27,0,-2.33177,-24.9377,2.48798,-44.265,989.842,-818.25,17.5442,-13.6384,-2.43622,25.1666,-21.1775,138.497
28,0,-2.16011,-25.0433,2.38949,-44.0686,989.413,-816.844,17.1661,-10.5665,-9.84945,19.6464,-42.9392,140.595
29,0,-2.03399,-25.1465,2.11907,-44.1279,988.632,-815.495,12.6118,-10.3196,-27.0415,-5.93774,-78.094,134.873
30,0,-1.87471,-25.1852,1.87921,-44.0784,987.848,-814.06,15.9283,-3.86623,-23.9867,4.95128,-78.392,143.462
31,0,-1.74118,-25.1952,1.58566,-44.0694,986.96,-812.564,13.3529,-0.998403,-29.3545,0.90003,-88.7513,149.584
32,0,-1.61557,-25.1834,1.25433,-44.1132,985.999,-811.029,12.5609,1.17121,-33.1331,-4.37722,-96.1363,153.589
33,0,-1.50576,-25.1475,0.893708,-44.178,985.002,-809.43,10.9813,3.5937,-36.0624,-6.4861,-99.7365,159.824
34,0,-1.40663,-25.0985,0.516603,-44.2601,984,-807.766,9.91277,4.90425,-37.7105,-8.2016,-100.154,166.404
35,0,-1.32308,-25.0439,0.131971,-44.3476,983.023,-806.016,8.3551,5.45886,-38.4632,-8.7563,-97.698,175.035
36,0,-1.25479,-24.9921,-0.251028,-44.4336,982.095,-804.164,6.82877,5.1778,-38.2999,-8.59313,-92.8342,185.21
37,0,-1.20158,-24.9529,-0.623934,-44.5019,981.233,-802.195,5.32076,3.92463,-37.2906,-6.8292,-86.1883,196.844
38,0,-1.16313,-24.9348,-0.9808,-44.5386,980.448,-800.102,3.84564,1.80471,-35.6867,-3.67463,-78.4576,209.284
39,0,-1.1395,-24.9443,-1.31557,-44.5262,979.747,-797.873,2.36252,-0.951104,-33.4773,1.24015,-70.0831,222.987
40,0,-1.18774,-24.9764,-1.46497,-43.813,979.306,-795.013,-4.82408,-3.20899,-14.9398,71.3244,-44.179,285.965
41,0,-1.09118,-25.0052,-1.84063,-43.8394,978.649,-792.892,9.65617,-2.87585,-37.5657,-2.64049,-65.6962,212.061
42,0,-1.14923,-25.0962,-2.02606,-43.2991,978.245,-790.055,-5.80528,-9.10447,-18.5433,54.029,-40.3643,283.694
43,0,-1.13096,-25.2602,-2.29513,-43.1064,977.787,-787.4,1.82706,-16.3991,-26.9067,19.2638,-45.7823,265.497
44,0,-1.18255,-25.4373,-2.43971,-42.4113,977.493,-784.344,-5.15913,-17.7076,-14.4578,69.5083,-29.4447,305.694
45,0,-1.16932,-25.6711,-2.63007,-41.9177,977.153,-781.409,1.32323,-23.3775,-19.0365,49.3657,-33.9568,293.434
46,0,-1.20764,-25.9143,-2.72287,-40.9686,976.931,-778.144,-3.83217,-24.3196,-9.2795,94.9122,-22.2147,326.502
47,0,-1.18449,-26.2024,-2.84553,-40.1156,976.669,-774.973,2.31537,-28.8167,-12.2666,85.3002,-26.1903,317.115
48,0,-1.19119,-26.4908,-2.88913,-38.8429,976.486,-771.522,-0.670202,-28.8425,-4.35915,127.262,-18.3105,345.105
49,0,-1.17479,-26.8237,-2.95006,-37.6007,976.274,-768.072,1.6399,-33.2891,-6.09392,124.221,-21.1656,345.033
50,0,-1.17433,-27.159,-2.94871,-35.9847,976.12,-764.358,0.0461144,-33.5267,0.135622,161.604,-15.4436,371.402
51,0,-0.447866,-27.6266,-2.44309,-34.7041,976.529,-759.927,72.6466,-46.7648,50.5617,128.057,40.9126,443.089
52,0,-0.554692,-28.1083,-2.49765,-33.3176,976.362,-756.125,-10.6825,-48.1634,-5.45549,138.655,-16.7012,380.152
53,0,-0.528472,-28.4648,-2.40219,-30.9744,976.235,-752.13,2.62194,-35.6522,9.54551,234.318,-12.66,399.482
54,0,-0.794948,-29.0078,-2.47048,-29.209,976.121,-747.672,-26.6476,-54.3027,-6.82891,176.54,-11.4202,445.867
55,0,-0.893475,-29.5091,-2.41897,-26.879,976.045,-743.055,-9.8527,-50.1257,5.15065,233.005,-7.61151,461.632
56,0,-1.01215,-30.0354,-2.41221,-24.5414,975.946,-738.336,-11.8674,-52.6328,0.675975,233.755,-9.90629,471.944
57,0,-1.14358,-30.5866,-2.3674,-21.955,975.906,-733.269,-13.1429,-55.1166,4.48146,258.644,-3.98159,506.645
58,0,-1.26924,-31.1564,-2.34446,-19.3017,975.872,-728.061,-12.5665,-56.986,2.29392,265.326,-3.41535,520.825
59,0,-1.40599,-31.7414,-2.30015,-16.4632,975.893,-722.582,-13.6748,-58.4931,4.43083,283.849,2.13385,547.892
60,0,-1.53599,-32.3344,-2.26088,-13.5127,975.95,-716.935,-13,-59.3055,3.92738,295.049,5.68032,564.688
61,0,-1.58665,-32.8906,-2.17236,-10.3415,976.056,-711.211,-5.06629,-55.621,8.85218,317.12,10.5381,572.431
62,0,-1.80138,-33.5206,-2.1608,-7.19776,976.248,-705.076,-21.4728,-62.9938,1.15543,314.376,19.2404,613.511
63,0,-1.89745,-34.1038,-2.07148,-3.80517,976.52,-698.9,-9.60711,-58.3216,8.93261,339.259,27.2155,617.576
64,0,-1.99561,-34.6737,-2.00212,-0.364048,976.865,-692.656,-9.81622,-56.9935,6.93608,344.112,34.4694,624.377
65,0,-2.05942,-35.2297,-1.90927,3.18562,977.314,-686.334,-6.38053,-55.5964,9.2846,354.966,44.9061,632.221
66,0,-2.14856,-35.764,-1.84588,6.75231,977.878,-679.95,-8.9141,-53.4281,6.33871,356.669,56.392,638.437
67,0,-2.19533,-36.2778,-1.77626,10.3498,978.563,-673.609,-4.67716,-51.3862,6.96253,359.75,68.4738,634.098
68,0,-2.23182,-36.7681,-1.7263,13.9247,979.384,-667.334,-3.64882,-49.0309,4.99543,357.486,82.0994,627.53
69,0,-2.25064,-37.233,-1.69685,17.4504,980.351,-661.185,-1.88204,-46.4808,2.94541,352.569,96.7741,614.882
70,0,-2.25529,-37.6705,-1.6937,20.8956,981.477,-655.214,-0.464752,-43.7559,0.314808,344.524,112.534,597.042
71,0,-2.24598,-38.0792,-1.71776,24.2379,982.768,-649.475,0.93104,-40.8698,-2.40586,334.232,129.145,573.969
72,0,-2.22391,-38.4499,-1.76658,27.4649,984.231,-644.006,2.20651,-37.0691,-4.88174,322.703,146.335,546.819
