Joints
100
,,Subject1:World_Root,,,,,,Subject1:World_Root,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX',RY',RZ',TX',TY',TZ'
,,deg,deg,deg,mm,mm,mm,deg/s,deg/s,deg/s,mm/s,mm/s,mm/s
1,0,-0.451467,-11.7022,1.63695,-32.611,947.989,262.513,,,,,,
2,0,-0.48165,-11.6986,1.57658,-32.2994,948.253,262.752,-3.01821,0.361317,-6.03625,31.1557,26.3274,23.8746
3,0,-0.503932,-11.7065,1.50463,-31.8521,948.807,263.126,-2.22824,-0.791021,-7.19528,44.7322,55.4085,37.4049
4,0,-0.495669,-11.7483,1.44786,-31.1953,949.767,263.612,0.826277,-4.17956,-5.67674,65.6823,96.035,48.6046
5,0,-0.51478,-11.7964,1.32848,-30.7368,951.367,264.3,-1.91107,-4.8064,-11.9379,45.8453,160.021,68.8553
6,0,-0.51374,-11.8891,1.18001,-30.2687,953.671,265.2,0.104,-9.27121,-14.8473,46.8068,230.42,89.9881
7,0,-0.496741,-12.0266,0.993718,-29.9169,956.781,266.27,1.69994,-13.7493,-18.6292,35.1794,310.934,107.011
8,0,-0.606788,-12.3022,0.447597,-30.3028,960.977,267.836,-11.0047,-27.5608,-54.6121,-38.5845,419.593,156.584
9,0,-0.651017,-12.5393,-0.0199529,-30.7382,965.989,269.264,-4.42288,-23.71,-46.755,-43.5418,501.21,142.753
10,0,-0.697305,-12.8047,-0.567787,-31.5196,971.91,270.752,-4.62886,-26.5367,-54.7834,-78.1341,592.142,148.88
11,0,-0.745789,-13.0776,-1.17322,-32.6476,978.641,272.247,-4.84841,-27.2889,-60.5435,-112.803,673.109,149.438
12,0,-0.800794,-13.3352,-1.82089,-34.0665,986.141,273.637,-5.5005,-25.7611,-64.7669,-141.895,750.011,139.055
13,0,-0.800927,-13.5655,-2.43059,-35.7038,994.23,274.982,-0.0132922,-23.0375,-60.9703,-163.731,808.817,134.438
14,0,-0.841667,-13.7394,-2.97877,-37.4159,1002.77,276.142,-4.07395,-17.3851,-54.8178,-171.206,854.218,116.074
15,0,-0.849109,-13.8613,-3.243,-38.7836,1011.73,277.37,-0.744192,-12.1906,-26.4225,-136.769,895.762,122.738
16,0,-0.908841,-13.8835,-3.5048,-40.3999,1020.48,278.255,-5.97327,-2.21973,-26.1808,-161.629,874.734,88.5516
17,0,-0.959602,-13.8397,-3.43483,-41.5856,1029.43,279.225,-5.07605,4.38421,6.99721,-118.569,895.131,97.0125
18,0,-1.05663,-13.6942,-3.227,-42.6951,1037.69,279.886,-9.70315,14.5413,20.7832,-110.954,826.645,66.033
19,0,-1.21031,-13.4658,-2.79807,-43.578,1045.86,280.654,-15.3676,22.8464,42.8929,-88.2857,816.572,76.7916
20,0,-1.3598,-13.1217,-2.213,-44.3062,1052.86,281.02,-14.9493,34.4113,58.5076,-72.8276,700.426,36.6211
21,0,-1.59428,-12.6877,-1.56663,-45.086,1059.2,281.415,-23.4481,43.3955,64.6364,-77.9789,634.05,39.5566
22,0,-1.83589,-12.1286,-0.789212,-45.707,1064.21,281.413,-24.1605,55.9113,77.742,-62.0987,500.739,-0.277162
23,0,-2.05945,-11.4535,0.0192493,-46.3636,1067.85,281.192,-22.3561,67.5135,80.8461,-65.6609,364.244,-22.0716
24,0,-2.32178,-10.6616,0.688345,-47.2921,1069.8,280.599,-26.2333,79.1881,66.9096,-92.8476,194.335,-59.2768
25,0,-2.62123,-9.81839,1.20213,-48.4575,1070.07,279.999,-29.9451,84.3194,51.3789,-116.542,26.7148,-60.0308
26,0,-2.87625,-8.91504,1.53203,-49.926,1068.47,279.208,-25.5019,90.3345,32.9897,-146.845,-159.049,-79.0507
27,0,-3.22172,-8.0241,1.71957,-51.5927,1065.33,278.526,-34.5465,89.094,18.7544,-166.676,-314.295,-68.2533
28,0,-3.54567,-7.13431,1.78065,-53.4549,1060.61,277.96,-32.3949,88.9796,6.10721,-186.213,-471.723,-56.538
29,0,-3.94051,-6.28068,1.72655,-55.5214,1054.54,277.507,-39.4846,85.3628,-5.41012,-206.651,-607.336,-45.3115
30,0,-4.28129,-5.4974,1.65333,-57.6049,1047.52,277.335,-34.0774,78.3282,-7.32207,-208.353,-702.369,-17.1959
31,0,-4.60514,-4.78778,1.50622,-59.81,1039.57,277.229,-32.3851,70.9615,-14.7106,-220.513,-794.423,-10.6692
32,0,-4.92904,-4.13966,1.33528,-62.0712,1031.21,277.401,-32.3897,64.8121,-17.0941,-226.12,-836.027,17.184
33,0,-5.21994,-3.58752,1.1802,-64.3057,1022.73,277.762,-29.0901,55.2137,-15.5074,-223.447,-847.912,36.1532
34,0,-5.44428,-3.14843,1.06835,-66.4554,1014.5,278.254,-22.4343,43.9094,-11.1857,-214.972,-823.259,49.1887
35,0,-5.62656,-2.83583,1.03889,-68.4179,1006.91,278.873,-18.2285,31.2601,-2.94558,-196.252,-759.375,61.8786
36,0,-5.73817,-2.65237,1.11306,-70.1107,1000.32,279.526,-11.1609,18.3453,7.41701,-169.279,-658.822,65.279
37,0,-5.7715,-2.59119,1.30654,-71.4545,995.081,280.129,-3.33271,6.11885,19.3482,-134.379,-523.835,60.3169
38,0,-5.72346,-2.63451,1.61425,-72.4195,991.491,280.594,4.80431,-4.33201,30.7708,-96.5029,-359.011,46.4946
39,0,-5.59397,-2.73387,1.95899,-73.2636,989.767,280.862,12.9485,-9.93662,34.4738,-84.4106,-172.353,26.8668
40,0,-5.37747,-2.94308,2.43443,-73.5228,990.02,280.796,21.65,-20.9204,47.5444,-25.9161,25.2485,-6.62208
41,0,-5.11283,-3.16366,2.87073,-73.6755,992.331,280.401,26.4647,-22.0586,43.6293,-15.2677,231.129,-39.497
42,0,-4.78969,-3.39146,3.26808,-73.6533,996.565,279.628,32.3131,-22.7794,39.7352,2.224,423.408,-77.3072
43,0,-4.44984,-3.61592,3.58226,-73.5307,1002.58,278.524,33.9851,-22.4468,31.4184,12.251,601.888,-110.415
44,0,-4.11022,-3.82573,3.81315,-73.2209,1010.09,277.161,33.962,-20.9803,23.0892,30.987,750.875,-136.259
45,0,-3.8736,-3.94455,3.99824,-72.567,1018.8,275.838,23.6628,-11.8827,18.5083,65.3885,870.347,-132.352
