Segments
100
,,Subject1:LowerBack,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
1,0,2.87944,134.499,117.47,-96.1757,-69.1719,1156.51
2,0,2.87173,134.433,117.495,-97.2716,-70.0518,1156.58
3,0,2.93412,134.321,117.509,-98.7589,-71.3396,1156.72
4,0,3.0596,134.177,117.503,-100.61,-73.0569,1156.94
5,0,3.24498,133.996,117.476,-102.758,-75.1789,1157.27
6,0,3.48576,133.776,117.43,-105.113,-77.6573,1157.72
7,0,3.77507,133.517,117.367,-107.577,-80.4327,1158.28
8,0,4.10401,133.22,117.292,-110.052,-83.4404,1158.96
9,0,4.46253,132.887,117.209,-112.449,-86.6173,1159.74
10,0,4.84047,132.52,117.123,-114.697,-89.9062,1160.6
11,0,5.22838,132.125,117.039,-116.745,-93.2588,1161.5
12,0,5.61801,131.706,116.962,-118.565,-96.6372,1162.42
13,0,6.0026,131.268,116.897,-120.148,-100.013,1163.32
14,0,6.37705,130.817,116.85,-121.503,-103.366,1164.17
15,0,6.7379,130.357,116.823,-122.65,-106.682,1164.94
16,0,7.08341,129.894,116.821,-123.614,-109.954,1165.61
17,0,7.41345,129.432,116.846,-124.423,-113.178,1166.15
18,0,7.72946,128.973,116.899,-125.102,-116.353,1166.56
19,0,8.03417,128.52,116.978,-125.672,-119.484,1166.82
20,0,8.33129,128.073,117.082,-126.146,-122.58,1166.94
21,0,8.62514,127.634,117.206,-126.537,-125.651,1166.92
22,0,8.92034,127.203,117.346,-126.849,-128.713,1166.77
23,0,9.22143,126.782,117.496,-127.087,-131.78,1166.5
24,0,9.53271,126.37,117.65,-127.25,-134.87,1166.12
25,0,9.85806,125.969,117.803,-127.339,-138.001,1165.66
26,0,10.2009,125.58,117.949,-127.351,-141.187,1165.14
27,0,10.5641,125.205,118.082,-127.286,-144.445,1164.57
28,0,10.9501,124.844,118.196,-127.141,-147.787,1163.98
29,0,11.3609,124.499,118.288,-126.911,-151.226,1163.38
30,0,11.7982,124.17,118.352,-126.595,-154.769,1162.79
31,0,12.2635,123.859,118.385,-126.189,-158.426,1162.21
32,0,12.758,123.565,118.382,-125.692,-162.2,1161.65
33,0,13.2829,123.288,118.341,-125.101,-166.095,1161.11
34,0,13.8392,123.028,118.259,-124.418,-170.111,1160.58
