Segments
100
,,Subject1:LowerBack,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
1,0,7.38397,137.454,109.585,-108.646,-459.229,1154.86
2,0,7.30261,137.537,109.571,-108.651,-459.108,1154.42
3,0,7.34827,137.605,109.497,-108.442,-458.722,1154.28
4,0,7.38536,137.712,109.366,-108.112,-458.353,1154.17
5,0,7.42091,137.85,109.183,-107.665,-457.985,1154.06
6,0,7.45716,138.015,108.958,-107.093,-457.589,1153.94
7,0,7.4933,138.201,108.702,-106.396,-457.149,1153.81
8,0,7.5273,138.401,108.427,-105.57,-456.66,1153.68
9,0,7.55674,138.61,108.142,-104.619,-456.116,1153.57
10,0,7.57925,138.823,107.858,-103.547,-455.517,1153.47
11,0,7.59283,139.035,107.581,-102.36,-454.86,1153.41
12,0,7.59601,139.244,107.32,-101.067,-454.147,1153.38
13,0,7.58792,139.446,107.079,-99.677,-453.379,1153.4
14,0,7.56828,139.64,106.861,-98.201,-452.559,1153.48
15,0,7.53735,139.827,106.666,-96.6499,-451.693,1153.61
16,0,7.49583,140.006,106.494,-95.0352,-450.787,1153.79
17,0,7.44472,140.18,106.342,-93.3684,-449.851,1154.03
18,0,7.265,140.372,106.306,-91.6826,-448.757,1153.93
19,0,7.2702,140.502,106.177,-89.9193,-447.764,1154.26
20,0,7.22504,140.667,106.04,-88.146,-446.855,1154.63
21,0,7.16127,140.845,105.904,-86.3675,-445.972,1155.02
22,0,7.08842,141.036,105.765,-84.5975,-445.123,1155.42
23,0,7.01081,141.245,105.617,-82.8508,-444.327,1155.79
24,0,6.93143,141.476,105.453,-81.1415,-443.606,1156.14
25,0,6.85291,141.735,105.267,-79.4826,-442.982,1156.44
26,0,6.77771,142.027,105.05,-77.8868,-442.477,1156.67
27,0,6.70824,142.357,104.796,-76.3661,-442.108,1156.83
28,0,6.64699,142.731,104.497,-74.932,-441.894,1156.91
29,0,6.59657,143.154,104.148,-73.5954,-441.851,1156.89
30,0,6.55983,143.628,103.742,-72.3667,-441.99,1156.76
31,0,6.53992,144.157,103.272,-71.2556,-442.32,1156.5
32,0,6.54034,144.743,102.733,-70.2711,-442.847,1156.1
33,0,6.56491,145.386,102.121,-69.4215,-443.572,1155.53
34,0,6.61774,146.086,101.431,-68.7139,-444.492,1154.78
35,0,6.70302,146.842,100.66,-68.1544,-445.602,1153.81
36,0,6.82474,147.649,99.8062,-67.7476,-446.891,1152.59
37,0,6.98641,148.504,98.8681,-67.4968,-448.347,1151.09
38,0,7.19065,149.402,97.8464,-67.4037,-449.953,1149.28
39,0,7.43893,150.337,96.7428,-67.4679,-451.692,1147.12
40,0,7.73135,151.304,95.5601,-67.6877,-453.546,1144.57
41,0,8.06656,152.298,94.3025,-68.0593,-455.494,1141.6
42,0,8.44187,153.312,92.9747,-68.5774,-457.521,1138.18
43,0,8.85355,154.343,91.5821,-69.2354,-459.609,1134.28
44,0,9.29705,155.385,90.1302,-70.0251,-461.747,1129.87
45,0,9.7675,156.435,88.6247,-70.9373,-463.923,1124.94
46,0,10.26,157.489,87.0712,-71.961,-466.132,1119.47
47,0,10.7698,158.542,85.4755,-73.0837,-468.367,1113.46
48,0,11.2928,159.59,83.8441,-74.2908,-470.624,1106.91
49,0,11.8249,160.626,82.1841,-75.5655,-472.895,1099.81
50,0,12.3628,161.645,80.5038,-76.889,-475.171,1092.19
51,0,12.9034,162.638,78.813,-78.2405,-477.435,1084.06
52,0,13.444,163.596,77.1224,-79.5983,-479.663,1075.46
53,0,13.982,164.511,75.4435,-80.9407,-481.824,1066.44
54,0,14.5146,165.373,73.7881,-82.2471,-483.878,1057.04
55,0,15.0392,166.176,72.1671,-83.4993,-485.782,1047.36
56,0,15.553,166.916,70.5908,-84.6822,-487.487,1037.48
57,0,16.0527,167.589,69.0681,-85.7843,-488.943,1027.53
58,0,16.5349,168.194,67.6072,-86.7977,-490.103,1017.61
59,0,16.9963,168.733,66.2158,-87.7179,-490.925,1007.86
60,0,17.4332,169.205,64.902,-88.5431,-491.374,998.397
61,0,17.8421,169.612,63.6748,-89.2735,-491.422,989.332
62,0,18.2197,169.956,62.5444,-89.9101,-491.054,980.77
63,0,18.5629,170.235,61.5229,-90.4542,-490.264,972.799
64,0,18.8691,170.449,60.624,-90.906,-489.056,965.494
65,0,19.1357,170.597,59.8627,-91.2641,-487.445,958.915
66,0,19.361,170.677,59.2548,-91.5247,-485.452,953.115
67,0,19.5437,170.685,58.8159,-91.6811,-483.102,948.139
68,0,19.6831,170.621,58.5607,-91.7239,-480.421,944.033
69,0,19.7794,170.483,58.5019,-91.6416,-477.434,940.846
