Segments
100
,,Subject1:LowerBack,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
82,0,0.686884,121.225,128.615,101.482,-230.184,1187.52
83,0,0.709335,121.211,128.491,101.956,-230.832,1193.09
84,0,0.847806,121.121,128.393,102.668,-231.097,1201.5
85,0,0.864238,121.161,128.401,102.395,-231.606,1210.56
86,0,0.998751,121.045,128.335,103.449,-231.972,1220.78
87,0,0.971787,121.091,128.438,103.137,-232.312,1231.63
88,0,0.996908,120.987,128.458,104.332,-232.581,1242.18
89,0,0.849859,121.073,128.668,103.969,-232.724,1252.79
90,0,0.716543,121.012,128.776,105.222,-232.869,1262
91,0,0.517797,121.14,129.105,104.397,-232.571,1271.48
92,0,0.27284,121.204,129.335,104.911,-232.596,1278.55
93,0,0.0322416,121.233,129.528,105.481,-232.501,1284.44
94,0,-0.152815,121.233,129.697,105.988,-232.27,1289.16
95,0,-0.237899,121.199,129.838,106.401,-231.9,1292.7
96,0,-0.188985,121.126,129.944,106.716,-231.388,1295.07
97,0,0.0140862,121.011,130.012,106.938,-230.741,1296.32
98,0,0.373614,120.855,130.042,107.074,-229.977,1296.45
99,0,0.872086,120.668,130.035,107.136,-229.125,1295.49
100,0,1.47452,120.461,129.994,107.141,-228.225,1293.45
101,0,2.13505,120.251,129.923,107.112,-227.328,1290.35
102,0,2.80533,120.056,129.822,107.077,-226.49,1286.2
103,0,3.44164,119.888,129.687,107.065,-225.771,1281.01
104,0,4.00903,119.758,129.512,107.103,-225.228,1274.8
105,0,4.48254,119.671,129.292,107.209,-224.905,1267.57
106,0,4.84633,119.627,129.022,107.39,-224.833,1259.37
107,0,5.09177,119.62,128.702,107.643,-225.021,1250.24
108,0,5.21563,119.641,128.339,107.95,-225.455,1240.27
109,0,5.21726,119.679,127.947,108.287,-226.097,1229.59
110,0,5.10617,119.721,127.544,108.62,-226.887,1218.36
111,0,4.89428,119.76,127.151,108.924,-227.756,1206.82
112,0,4.65575,120.473,126.39,109.446,-227.105,1193.21
113,0,4.3723,121.036,125.772,109.547,-227.94,1181.37
114,0,4.09271,121.551,125.238,109.58,-228.809,1170.17
115,0,3.83514,122.035,124.786,109.542,-229.669,1159.96
116,0,3.61778,122.482,124.427,109.442,-230.499,1151.11
117,0,3.45409,122.876,124.173,109.299,-231.268,1143.98
118,0,3.35247,123.204,124.032,109.132,-231.941,1138.88
119,0,3.31862,123.456,124.01,108.965,-232.477,1136.06
120,0,3.16858,123.538,124.056,108.764,-232.775,1134.94
121,0,3.44203,123.711,124.164,109.1,-232.581,1137.42
122,0,3.43003,123.646,124.545,108.492,-233.036,1141.69
123,0,3.6103,123.581,124.991,108.276,-232.899,1148.64
124,0,4.102,123.6,125.557,107.801,-232.731,1158.54
125,0,4.66528,123.586,126.097,107.093,-232.197,1169.32
126,0,5.32343,123.571,126.589,106.147,-231.615,1181.37
127,0,6.03631,123.548,127.005,104.908,-231.035,1194.2
128,0,6.74279,123.503,127.331,103.419,-230.514,1207.29
129,0,7.37233,123.412,127.574,101.778,-230.097,1220.17
130,0,7.87211,123.26,127.753,100.122,-229.813,1232.44
131,0,8.22283,123.047,127.891,98.5767,-229.663,1243.81
132,0,8.43314,122.789,128.001,97.2154,-229.632,1254.07
133,0,8.52174,122.507,128.094,96.0353,-229.696,1263.07
134,0,8.51137,122.201,128.177,94.9916,-229.824,1270.74
135,0,8.44228,121.841,128.26,94.0488,-229.968,1277.07
136,0,8.38327,121.378,128.35,93.2025,-230.057,1282.09
137,0,8.42016,120.775,128.44,92.4877,-230.016,1285.83
138,0,8.63013,120.061,128.528,91.9922,-229.775,1288.28
139,0,8.9873,119.414,128.493,91.672,-229.292,1289.75
140,0,8.678,120.385,128.745,89.6885,-230.063,1290.37
141,0,8.07185,120.845,128.908,88.3108,-231.079,1289.98
142,0,7.32125,120.282,128.745,88.9867,-231.346,1288.87
143,0,6.8693,119.652,128.697,89.7297,-231.225,1285.9
144,0,6.58064,119.104,128.709,90.239,-231.047,1281.58
145,0,6.34084,118.665,128.736,90.6688,-230.93,1275.99
146,0,6.09611,118.339,128.754,91.1412,-230.925,1269.15
147,0,5.83095,118.127,128.746,91.7088,-231.066,1261.09
148,0,5.54861,118.031,128.699,92.3719,-231.375,1251.92
149,0,5.25942,118.051,128.605,93.0962,-231.865,1241.83
150,0,4.97304,118.184,128.461,93.8265,-232.55,1231.08
151,0,4.69121,118.419,128.271,94.4972,-233.436,1220.01
152,0,4.40248,118.74,128.045,95.046,-234.529,1209.03
153,0,4.08834,119.124,127.801,95.4376,-235.83,1198.56
154,0,3.75371,119.531,127.544,95.6898,-237.31,1189.05
155,0,4.15179,119.155,126.691,95.4282,-238.561,1180.3
156,0,4.26693,119.237,126.14,95.7763,-240.043,1173.79
157,0,4.19326,119.391,125.737,96.0928,-241.678,1169.37
158,0,4.18856,119.531,125.373,96.346,-243.33,1167.43
159,0,4.20738,119.629,125.062,96.5015,-245.018,1167.92
160,0,4.2454,119.682,124.799,96.6114,-246.723,1170.8
161,0,4.30464,119.685,124.576,96.7198,-248.429,1175.89
162,0,4.38764,119.64,124.382,96.8662,-250.127,1182.88
163,0,4.50439,119.56,124.257,97.1188,-251.605,1192.71
164,0,4.53686,119.528,124.157,96.9859,-253.316,1202.53
165,0,4.66374,119.385,124.056,97.4525,-254.751,1213.58
166,0,4.66887,119.338,123.999,97.5186,-256.39,1224.38
167,0,4.73597,119.192,123.937,98.2437,-257.765,1235.36
168,0,4.69261,119.104,123.909,98.8766,-259.237,1245.59
169,0,4.58616,119.047,123.91,99.5883,-260.702,1254.97
170,0,4.40252,119.164,124.056,99.111,-262.025,1263.95
171,0,4.22044,119.176,124.127,99.9691,-263.503,1270.84
172,0,4.01601,119.163,124.197,100.865,-264.909,1276.54
173,0,3.8182,119.146,124.287,101.643,-266.225,1281.04
174,0,3.65606,119.125,124.4,102.24,-267.431,1284.34
175,0,3.5537,119.092,124.536,102.629,-268.509,1286.44
176,0,3.5281,119.044,124.688,102.808,-269.454,1287.36
177,0,3.58758,118.976,124.849,102.796,-270.276,1287.11
178,0,3.73575,118.887,125.007,102.63,-271,1285.7
179,0,3.95806,118.784,125.148,102.353,-271.667,1283.16
180,0,4.23941,118.671,125.258,102.019,-272.335,1279.5
181,0,4.55995,118.559,125.319,101.679,-273.064,1274.72
182,0,4.89698,118.455,125.319,101.38,-273.915,1268.84
183,0,5.22695,118.368,125.244,101.157,-274.937,1261.87
184,0,5.5243,118.303,125.089,101.03,-276.167,1253.84
185,0,5.77298,118.26,124.855,100.998,-277.616,1244.81
186,0,5.95482,118.24,124.548,101.046,-279.273,1234.88
187,0,6.05506,118.235,124.183,101.145,-281.106,1224.22
188,0,6.06372,118.24,123.779,101.259,-283.059,1213.04
189,0,5.97744,118.245,123.36,101.354,-285.065,1201.61
190,0,5.80172,118.247,122.948,101.405,-287.054,1190.24
191,0,5.56194,118.796,122.26,101.678,-287.792,1177.43
192,0,5.28217,119.247,121.684,101.5,-289.676,1166.85
193,0,4.99562,119.666,121.191,101.255,-291.517,1157.53
194,0,4.71476,120.068,120.784,100.952,-293.271,1149.83
195,0,4.45046,120.451,120.477,100.606,-294.914,1144.08
196,0,4.27585,120.666,120.49,100.333,-296.881,1140.69
197,0,4.10108,120.88,120.533,99.8304,-298.253,1139.69
198,0,3.93091,121.081,120.679,99.3488,-299.396,1141.1
199,0,3.78329,121.273,120.935,98.8758,-300.294,1144.88
200,0,3.68203,121.473,121.294,98.3843,-300.942,1150.84
