Joints,,,,,,,,,,,,,
100,,,,,,,,,,,,,
,,Subject1:World_Root,,,,,,Subject1:LowerBack,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm,deg,deg,deg,mm,mm,mm
1,0,1.24845,-2.1548,-0.182495,3.0681,964.9,173.83,0.482256,130.995,123.986,-3.61975,177.624,1138.04
2,0,1.0972,-2.08063,-0.090057,2.77783,964.848,174.656,0.208353,130.981,124.096,-3.05028,177.982,1138
3,0,0.959427,-2.16812,0.033381,2.65735,965.077,174.915,0.0285591,130.987,124.029,-2.55694,177.811,1138.24
4,0,0.857947,-2.31181,0.173938,2.5986,965.778,175.122,-0.0961692,130.952,123.892,-2.07369,177.694,1138.94
5,0,0.784976,-2.48834,0.316773,2.66153,966.901,175.383,-0.154393,130.872,123.734,-1.70537,177.714,1140.07
6,0,0.756685,-2.75447,0.466501,2.79226,968.489,175.547,-0.0798604,130.714,123.539,-1.38426,177.766,1141.65
7,0,0.773788,-3.04476,0.603246,3.04778,970.628,175.923,0.0781074,130.488,123.353,-1.22741,178.165,1143.79
8,0,0.831279,-3.4142,0.718297,3.6019,973.28,176.321,0.360305,130.187,123.144,-1.43507,178.704,1146.43
9,0,0.916727,-3.86102,0.810762,4.23559,976.412,176.706,0.741315,129.828,122.93,-1.79101,179.312,1149.56
10,0,1.03594,-4.34638,0.883947,5.1003,980.214,177.166,1.16505,129.469,122.706,-2.43665,180.095,1153.35
11,0,1.15509,-4.88105,0.928881,6.15595,984.576,177.762,1.65459,129.039,122.507,-3.359,181.014,1157.71
12,0,1.28053,-5.41313,0.944835,7.32115,989.498,178.473,2.15657,128.593,122.34,-4.47854,182.073,1162.62
13,0,1.41148,-5.95273,0.924574,8.69126,994.872,179.235,2.7009,128.134,122.196,-5.91222,183.211,1167.99
14,0,1.53298,-6.54593,0.867479,10.0883,1000.66,180.026,3.28011,127.645,122.052,-7.48385,184.36,1173.77
15,0,1.63471,-7.16736,0.768599,11.53,1006.7,181.013,3.89087,127.105,121.927,-9.2255,185.663,1179.81
16,0,1.7099,-7.85224,0.631571,12.961,1012.84,182.095,4.53307,126.524,121.799,-11.0704,187.002,1185.94
17,0,1.76485,-8.5472,0.46175,14.3847,1018.93,183.196,5.14708,125.936,121.674,-13.0049,188.322,1192.04
18,0,1.78376,-9.30572,0.25937,15.7954,1024.87,184.412,5.80567,125.313,121.535,-15.0221,189.676,1197.97
19,0,1.79055,-10.0515,0.0250787,17.2205,1030.24,185.547,6.44622,124.694,121.382,-17.1463,190.945,1203.34
20,0,1.74928,-10.7673,-0.231358,18.7103,1035.17,186.779,7.05967,124.081,121.255,-19.3977,192.196,1208.27
21,0,1.686,-11.4532,-0.485521,20.2646,1039.41,188.081,7.67883,123.483,121.122,-21.7034,193.467,1212.5
22,0,1.59825,-12.0769,-0.73127,21.8732,1042.95,189.38,8.27394,122.908,120.987,-24.035,194.672,1216.04
23,0,1.48385,-12.596,-0.958907,23.4705,1045.52,190.798,8.81882,122.362,120.879,-26.2995,195.914,1218.61
24,0,1.35547,-13.0766,-1.16864,25.1381,1047.21,192.147,9.40594,121.838,120.725,-28.5791,197.042,1220.29
25,0,1.20343,-13.5565,-1.37162,26.8502,1048.02,193.549,10.0444,121.299,120.529,-30.8807,198.157,1221.09
26,0,1.06885,-14.1246,-1.5599,28.5486,1047.94,194.596,10.7724,120.786,120.211,-33.1209,198.975,1221.01
27,0,0.932491,-14.8038,-1.74072,30.0941,1046.86,195.478,11.5831,120.237,119.805,-35.1806,199.639,1219.92
28,0,0.818793,-15.4986,-1.90167,31.7409,1044.76,196.205,12.4375,119.702,119.363,-37.2794,200.214,1217.81
29,0,0.724841,-16.1596,-2.07019,33.3013,1041.85,196.794,13.2727,119.19,118.885,-39.3106,200.724,1214.89
30,0,0.63771,-16.8467,-2.2492,34.999,1038.12,197.216,14.1595,118.68,118.394,-41.5046,201.112,1211.14
31,0,0.579179,-17.5216,-2.41774,36.7242,1033.51,197.494,15.0575,118.2,117.888,-43.6915,201.442,1206.51
32,0,0.511011,-18.2157,-2.58244,38.3942,1028.13,197.735,15.9776,117.724,117.375,-45.8067,201.717,1201.11
33,0,0.415413,-18.886,-2.74709,40.1208,1022.17,197.97,16.8568,117.27,116.882,-47.9747,201.911,1195.13
34,0,0.314909,-19.5742,-2.88039,41.9454,1015.7,198.042,17.7553,116.872,116.369,-50.1456,201.908,1188.65
35,0,0.211028,-20.2093,-3.00055,43.6789,1008.95,198.159,18.6183,116.506,115.876,-52.1867,201.928,1181.89
36,0,0.096433,-20.7043,-3.11492,45.4622,1002.27,198.326,19.359,116.179,115.448,-54.2656,201.944,1175.2
37,0,0.0165114,-21.0456,-3.17989,47.2292,995.818,198.378,20.0395,115.931,115.061,-56.1956,201.877,1168.73
38,0,-0.0332951,-21.2423,-3.20453,48.8581,989.971,198.412,20.6551,115.724,114.72,-57.8819,201.819,1162.89
39,0,-0.0400025,-21.2561,-3.16928,50.2183,984.947,198.357,21.1687,115.566,114.454,-59.1421,201.708,1157.87
40,0,-0.0269797,-21.1427,-3.08367,51.2941,980.872,198.252,21.6291,115.377,114.26,-59.9837,201.531,1153.81
41,0,0.000575832,-20.9336,-2.95123,52.1923,977.915,198.16,22.0299,115.181,114.132,-60.5208,201.347,1150.87
42,0,0.0424254,-20.6469,-2.77793,53.0447,976.151,198.117,22.3836,115.018,114.056,-60.8995,201.204,1149.13
43,0,0.0823523,-20.2981,-2.57391,53.5534,975.676,198.284,22.6458,114.823,114.036,-60.8483,201.23,1148.68
44,0,0.146856,-19.9473,-2.33403,53.9179,976.556,198.393,22.8844,114.655,114.022,-60.5482,201.243,1149.59
45,0,0.232685,-19.5351,-2.06496,53.876,978.787,198.498,23.0401,114.498,114.074,-59.7575,201.288,1151.85
46,0,0.3557,-19.0937,-1.78146,53.543,982.247,198.644,23.1491,114.366,114.163,-58.6311,201.48,1155.33
47,0,0.482354,-18.607,-1.51105,52.8684,986.759,198.961,23.198,114.199,114.341,-57.197,201.875,1159.87
48,0,0.636284,-18.1056,-1.25059,51.9509,992.083,199.288,23.2153,114.037,114.545,-55.5439,202.385,1165.2
49,0,0.81301,-17.6013,-1.00167,50.7888,998.146,199.685,23.2511,113.86,114.775,-53.675,203.058,1171.27
50,0,1.0143,-17.0594,-0.768909,49.5311,1004.62,200.064,23.2158,113.728,115.03,-51.7533,203.811,1177.75
51,0,1.22705,-16.5283,-0.550442,48.1477,1011.47,200.37,23.1633,113.634,115.287,-49.7432,204.551,1184.59
