Segments
100
,,Subject1:LowerBack,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
7251,0,9.88458,109.959,120.018,401.296,971.904,1161.22
7252,0,10.0656,109.951,119.881,400.869,971.773,1161.27
7253,0,10.2207,109.919,119.765,400.517,971.693,1161.39
7254,0,10.3836,109.944,119.618,399.95,971.39,1161.45
7255,0,10.5147,109.967,119.502,399.585,971.253,1161.58
7256,0,10.7583,109.956,119.333,399.189,971.02,1161.72
7257,0,10.7449,110.044,119.23,398.596,970.606,1161.63
7258,0,10.8165,110.101,119.09,398.042,970.175,1161.68
7259,0,10.9577,110.117,118.93,397.521,969.739,1161.76
7260,0,11.0888,110.12,118.764,396.933,969.321,1161.82
7261,0,11.2212,110.143,118.594,396.393,968.799,1161.88
7262,0,11.3513,110.178,118.413,395.765,968.234,1161.95
7263,0,11.4718,110.188,118.244,395.247,967.753,1161.96
7264,0,11.6145,110.193,118.081,394.827,967.278,1162.05
7265,0,11.7211,110.204,117.874,394.203,966.651,1162.14
7266,0,11.8102,110.23,117.695,393.671,966.086,1162.18
7267,0,11.8885,110.297,117.511,393.137,965.39,1162.18
7268,0,11.9513,110.375,117.318,392.586,964.528,1162.18
7269,0,12.0238,110.444,117.113,392.21,963.755,1162.16
7270,0,12.0714,110.493,116.917,391.712,963.035,1162.08
7271,0,12.1143,110.596,116.717,391.251,962.091,1161.96
7272,0,12.1623,110.662,116.535,390.882,961.324,1161.78
7273,0,12.2275,110.728,116.356,390.437,960.458,1161.59
7274,0,12.3231,110.768,116.162,390.278,959.764,1161.42
7275,0,12.4004,110.814,115.982,389.993,958.921,1161.22
7276,0,12.4329,110.872,115.867,389.153,958.43,1161.19
7277,0,12.4839,110.92,115.712,389.277,957.314,1160.89
7278,0,12.5411,110.949,115.57,389,956.568,1160.74
7279,0,12.6057,110.977,115.377,389.266,955.361,1160.55
7280,0,12.6506,111.008,115.22,389.359,954.392,1160.41
7281,0,12.7422,110.996,115.094,389.288,953.698,1160.3
7282,0,12.7913,111.047,114.943,389.46,952.526,1160.29
7283,0,12.8587,111.04,114.826,389.681,951.885,1160.28
7284,0,12.8868,111.067,114.707,390.043,950.719,1160.46
7285,0,12.8564,111.098,114.608,390.081,949.562,1160.64
7286,0,12.8256,111.118,114.525,390.36,948.518,1160.84
7287,0,12.7731,111.135,114.451,390.673,947.488,1161.07
7288,0,12.7176,111.157,114.376,391.102,946.419,1161.36
7289,0,12.6755,111.155,114.353,391.281,945.473,1161.5
7290,0,12.6365,111.179,114.287,391.916,944.184,1161.89
7291,0,12.5496,111.176,114.258,392.35,942.997,1162.18
7292,0,12.5025,111.142,114.279,392.447,942.13,1162.28
7293,0,12.5168,111.15,114.259,393.036,941.18,1162.53
7294,0,12.535,111.145,114.246,393.913,939.836,1162.94
7295,0,12.4384,111.135,114.286,393.793,938.767,1162.96
7296,0,12.4131,111.138,114.304,394.666,937.389,1163.29
7297,0,12.3831,111.119,114.361,394.825,936.449,1163.27
7298,0,12.3167,111.13,114.37,395.636,934.972,1163.52
7299,0,12.2902,111.141,114.403,396.48,933.819,1163.53
7300,0,12.2219,111.131,114.51,396.469,932.795,1163.42
7301,0,12.184,111.155,114.598,396.976,931.588,1163.38
7302,0,12.1623,111.167,114.682,397.505,930.418,1163.37
7303,0,12.1377,111.166,114.794,398.114,929.142,1163.36
7304,0,12.1361,111.176,114.88,398.731,927.881,1163.31
7305,0,12.1543,111.161,114.974,399.514,926.74,1163.25
7306,0,12.1722,111.122,115.076,400.2,925.483,1163.17
7307,0,12.1559,111.097,115.203,400.78,924.028,1163.13
7308,0,12.1749,111.066,115.317,401.544,922.661,1163.04
7309,0,12.2103,111.031,115.444,402.305,921.29,1163.01
7310,0,12.2159,110.998,115.601,403.153,919.89,1162.95
7311,0,12.2191,110.982,115.734,403.967,918.343,1162.93
7312,0,12.2394,110.971,115.834,405.314,916.447,1163
7313,0,12.2528,110.911,116.008,405.866,915.171,1162.96
7314,0,12.2403,110.944,116.126,407.151,913.112,1162.92
7315,0,12.2788,110.881,116.316,407.791,911.77,1162.89
7316,0,12.3045,110.838,116.511,408.873,910.192,1162.83
7317,0,12.2751,110.824,116.647,410.217,908.09,1162.79
7318,0,12.277,110.808,116.784,411.396,906.134,1162.74
7319,0,12.287,110.772,116.999,412.343,904.831,1162.69
7320,0,12.3485,110.693,117.176,413.588,903.04,1162.7
7321,0,12.3839,110.643,117.314,414.993,900.562,1162.69
7322,0,12.4394,110.619,117.434,416.211,898.247,1162.66
7323,0,12.5361,110.544,117.567,417.594,896.089,1162.58
7324,0,12.6512,110.435,117.777,418.547,894.321,1162.53
7325,0,12.7894,110.344,117.926,420.037,891.892,1162.38
7326,0,12.8981,110.266,118.036,421.757,889.355,1162.25
7327,0,13.0076,110.185,118.147,423.619,886.934,1162.16
7328,0,13.0808,110.098,118.267,425.396,884.034,1162.1
7329,0,13.1433,110.019,118.379,427.363,881.297,1161.99
7330,0,13.2134,109.976,118.462,429.23,878.221,1161.93
7331,0,13.2834,109.948,118.545,431.153,875.068,1161.8
7332,0,13.3006,109.941,118.634,433.164,871.888,1161.64
7333,0,13.335,109.944,118.683,435.347,868.425,1161.56
7334,0,13.3358,109.912,118.731,437.934,865.358,1161.43
7335,0,13.3424,109.883,118.76,440.446,861.782,1161.37
7336,0,13.3654,109.868,118.806,442.771,857.881,1161.45
7337,0,13.411,109.867,118.724,445.521,853.941,1161.32
