Segments
100
,,Subject1:LowerBack,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
494,0,70.8954,99.6873,87.0602,-79.8471,83.231,1126.51
495,0,71.6948,99.2106,86.2287,-78.4481,81.034,1126.52
496,0,72.5242,98.5964,85.3676,-77.3069,79.2441,1126.64
497,0,73.3631,97.9608,84.4728,-76.1859,77.5723,1126.74
498,0,74.3087,97.1629,83.4563,-75.1024,76.1264,1126.9
499,0,75.257,96.3793,82.4091,-74.3039,74.9001,1127.03
500,0,76.2661,95.542,81.2934,-73.4287,73.9388,1127.26
501,0,77.2724,94.686,80.1675,-72.7432,72.9887,1127.45
502,0,78.3152,93.7711,78.9998,-72.2273,72.329,1127.65
503,0,79.3378,92.8638,77.8451,-71.7181,71.7848,1127.93
504,0,80.3505,91.9756,76.6844,-71.3338,71.3829,1128.15
505,0,81.3707,91.0477,75.4891,-70.983,71.0967,1128.34
506,0,82.3506,90.1448,74.3058,-70.6516,70.9436,1128.51
507,0,83.3117,89.2252,73.1259,-70.3803,70.8663,1128.62
508,0,84.2273,88.3042,71.9667,-70.144,70.8603,1128.69
509,0,85.1318,87.3664,70.803,-69.7944,70.9409,1128.75
510,0,86.0014,86.4306,69.6395,-69.4718,71.188,1128.69
511,0,86.8332,85.4986,68.4927,-69.123,71.3713,1128.58
512,0,87.6618,84.5204,67.3355,-68.7713,71.7476,1128.32
513,0,88.4192,83.5729,66.2144,-68.4953,72.1237,1127.95
514,0,89.1518,82.6276,65.1096,-68.1495,72.454,1127.54
515,0,89.8384,81.678,64.0393,-67.8697,72.9143,1126.97
516,0,90.4986,80.7493,62.9962,-67.622,73.3495,1126.4
517,0,91.1094,79.8724,61.9883,-67.4621,73.8192,1125.81
518,0,91.6844,78.9893,61.0175,-67.287,74.4178,1125.16
519,0,92.2178,78.1524,60.0781,-67.1598,74.9848,1124.61
520,0,92.7288,77.3162,59.161,-66.9653,75.5427,1124.07
521,0,93.2058,76.4889,58.2822,-66.7304,76.1623,1123.57
522,0,93.6542,75.6751,57.4234,-66.4473,76.7141,1123.08
523,0,94.0409,74.8534,56.6061,-66.1376,77.2787,1122.65
524,0,94.3983,74.0782,55.8137,-65.8075,77.731,1122.24
525,0,94.761,73.2671,55.0249,-65.3292,78.3072,1122.1
526,0,95.0921,72.4781,54.2627,-65.0144,78.8899,1121.86
527,0,95.3827,71.7157,53.5133,-64.7155,79.4715,1121.63
528,0,95.6639,70.9667,52.7665,-64.475,80.1213,1121.42
529,0,95.9125,70.2501,52.0515,-64.1469,80.7338,1121.13
530,0,96.145,69.5577,51.3602,-63.8384,81.5573,1120.84
