Segments
100
,,Subject1:LowerBack,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
1,0,20.0896,124.504,107.935,36.3003,258.249,1118.76
2,0,20.1966,124.367,107.98,36.0293,258.397,1119.23
3,0,20.3682,124.197,108.055,35.6052,258.601,1119.93
4,0,20.6065,123.988,108.171,35.0571,258.924,1121.02
5,0,20.9117,123.733,108.337,34.4294,259.394,1122.6
6,0,21.2775,123.433,108.561,33.7705,260.03,1124.79
7,0,21.694,123.092,108.845,33.13,260.842,1127.68
8,0,22.1479,122.718,109.188,32.555,261.823,1131.37
9,0,22.6234,122.322,109.586,32.0864,262.958,1135.9
10,0,23.1023,121.915,110.034,31.7575,264.218,1141.29
11,0,23.5641,121.513,110.524,31.5925,265.565,1147.55
12,0,23.9863,121.13,111.05,31.6078,266.954,1154.6
13,0,24.3455,120.781,111.604,31.8133,268.336,1162.34
14,0,24.6178,120.481,112.183,32.2154,269.662,1170.65
15,0,24.7799,120.241,112.782,32.8191,270.881,1179.33
16,0,24.8104,120.071,113.4,33.631,271.95,1188.21
17,0,24.6903,119.98,114.035,34.6598,272.832,1197.07
18,0,24.4049,119.973,114.686,35.9171,273.497,1205.71
19,0,23.9436,120.054,115.35,37.4166,273.923,1213.94
20,0,23.3003,120.223,116.023,39.1737,274.093,1221.55
21,0,22.474,120.478,116.699,41.2056,273.992,1228.36
22,0,21.4685,120.816,117.367,43.5305,273.602,1234.14
23,0,20.2943,121.226,118.012,46.1726,272.913,1238.66
24,0,18.969,121.689,118.616,49.1296,271.927,1241.57
25,0,17.5234,122.179,119.157,52.3765,270.695,1242.64
26,0,15.9953,122.667,119.626,55.8368,269.316,1241.73
27,0,14.4228,123.136,120.025,59.389,267.911,1238.94
28,0,12.8376,123.577,120.373,62.9012,266.592,1234.51
29,0,11.2634,123.994,120.693,66.2642,265.435,1228.8
30,0,9.71579,124.39,121.007,69.4064,264.485,1222.12
31,0,8.20402,124.766,121.329,72.2887,263.767,1214.78
32,0,6.73366,125.119,121.668,74.8944,263.294,1207.08
33,0,5.30913,125.442,122.028,77.2192,263.068,1199.29
34,0,3.93776,125.729,122.404,79.2686,263.084,1191.69
35,0,2.62551,125.975,122.791,81.0415,263.3,1184.54
36,0,1.38412,126.176,123.174,82.5495,263.667,1178.12
37,0,0.227003,126.335,123.533,83.803,264.12,1172.71
38,0,-0.832341,126.454,123.848,84.8145,264.588,1168.6
39,0,-1.78236,126.539,124.097,85.5987,265.006,1166.05
40,0,-2.61415,126.593,124.265,86.1701,265.328,1165.3
41,0,-3.32038,126.618,124.341,86.5402,265.52,1166.48
42,0,-3.89319,126.612,124.317,86.7143,265.565,1169.64
43,0,-4.3222,126.574,124.192,86.6893,265.452,1174.69
44,0,-4.59353,126.507,123.966,86.4541,265.168,1181.45
45,0,-4.69012,126.412,123.637,85.9897,264.692,1189.63
46,0,-4.59296,126.298,123.203,85.2707,263.993,1198.87
47,0,-4.28304,126.173,122.665,84.267,263.037,1208.75
48,0,-3.74374,126.048,122.022,82.945,261.795,1218.82
49,0,-2.96418,125.932,121.279,81.2705,260.26,1228.63
50,0,-1.9432,125.828,120.447,79.2131,258.46,1237.73
51,0,-0.693178,125.736,119.551,76.752,256.468,1245.71
52,0,0.758156,125.65,118.62,73.8835,254.397,1252.25
53,0,2.37016,125.559,117.692,70.6267,252.381,1257.07
54,0,4.09569,125.455,116.803,67.024,250.552,1260
55,0,5.8885,125.333,115.981,63.1352,249.008,1260.98
56,0,7.70834,125.189,115.243,59.0275,247.807,1260
